Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season
Russia,Astrakhan,Sector_1,46.34773,48.01736,2.0,1.52,0.44,0.17,48.34,66.41,4.5,9.8,87,5.6,Monsoon,616.82,336.16,5000.0,313.87,2025-08-12 16:35:00,monsoon
Bangladesh,Chittagong,Sector_4,22.36129,91.86683,4.0,26.44,0.41,2.7,87.32,147.77,31.82,34.5,100,3.1,Monsoon,1608.84,1767.22,995.27,5000.0,2025-09-19 09:07:00,monsoon
Bangladesh,Chandpur,Sector_1,23.22879,90.61454,5.0,37.91,4.41,1.34,42.17,361.76,36.78,31.2,83,5.1,Monsoon,5000.0,5000.0,5000.0,5000.0,2025-09-19 09:07:00,monsoon
Germany,Ludwigshafen,Sector_1,49.49415,8.40425,2.0,6.6,18.71,0.82,28.46,234.47,9.13,12.4,100,2.5,Monsoon,125.2,968.45,371.82,215.19,2025-08-11 12:54:00,monsoon
Brazil,Santos,Sector_2,-23.95008,-46.30983,1.0,1.47,0.04,0.14,29.85,29.27,8.68,36.1,100,3.5,Monsoon,337.77,227.58,5000.0,5000.0,2025-09-14 12:48:00,monsoon
Germany,Dortmund,Sector_3,51.50101,7.47303,1.0,3.18,9.26,0.46,25.11,136.71,5.14,20.3,100,4.8,Monsoon,299.75,662.34,5000.0,161.93,2025-09-05 09:09:00,monsoon
Brazil,Serra,City Center,-20.1252961,-40.3064477,1.0,2.7,5.21,1.41,31.05,137.29,5.94,36.9,84,7.3,Monsoon,52.69,411.87,1544.47,5000.0,2025-09-24 15:49:00,monsoon
China,Foshan,Sector_3,23.03115,113.14266,5.0,43.51,26.31,19.15,38.18,363.09,61.43,30.4,62,5.2,Monsoon,0.34,301.38,1586.58,5000.0,2025-09-20 12:14:00,monsoon
China,Shantou,City Center,23.3563921,116.6775856,3.0,9.72,2.77,4.69,68.85,147.43,23.39,28.9,94,3.4,Monsoon,74.8,5000.0,5000.0,5000.0,2025-09-13 12:37:00,monsoon
India,Ghaziabad,Sector_2,28.78528,77.46545,5.0,68.9,19.37,2.31,34.02,668.26,124.28,31.0,61,3.7,Monsoon,114.23,5000.0,5000.0,5000.0,2025-09-12 20:41:00,monsoon
Pakistan,Sargodha,Sector_1,32.10059,72.6754,5.0,127.29,7.38,1.97,76.06,836.84,204.55,33.9,58,3.9,Monsoon,536.84,5000.0,5000.0,5000.0,2025-08-17 08:58:00,monsoon
India,New Delhi,Sector_2,28.64366,77.21044,5.0,79.76,26.13,2.91,31.65,654.41,148.12,26.1,96,3.3,Monsoon,137.2,706.0,5000.0,2223.79,2025-09-28 11:33:00,monsoon
Nigeria,Minna,Sector_1,9.6263,6.58034,5.0,25.76,0.72,0.31,58.54,182.26,115.63,44.8,34,2.6,Monsoon,69.1,5000.0,5000.0,5000.0,2025-07-24 18:53:00,monsoon
Brazil,Rio de Janeiro,Sector_3,-22.92265,-43.16893,2.0,2.09,0.03,0.13,34.88,44.31,8.89,36.8,93,5.9,Monsoon,204.56,961.41,5000.0,1032.32,2025-09-01 15:09:00,monsoon
Germany,Leipzig,City Center,51.3406321,12.3747329,3.0,12.94,14.77,0.93,23.98,210.24,17.13,16.3,100,7.3,Monsoon,379.55,776.2,2614.08,231.09,2025-08-15 16:48:00,monsoon
Russia,Vladivostok,Sector_2,43.11064,131.90953,2.0,1.81,2.7,2.58,55.63,112.85,2.44,3.3,74,5.2,Monsoon,513.92,49.65,5000.0,649.08,2025-08-24 14:55:00,monsoon
USA,El Paso,Sector_1,31.76392,-106.5117,1.0,2.78,2.32,0.22,26.45,76.98,4.58,19.7,59,4.0,Monsoon,7.56,143.51,5000.0,5000.0,2025-09-05 11:07:00,monsoon
Bangladesh,Gaibandha,Sector_1,25.36741,89.54578,5.0,61.32,13.65,1.9,33.44,657.32,103.9,28.4,83,4.5,Monsoon,920.23,5000.0,5000.0,5000.0,2025-08-30 18:09:00,monsoon
Brazil,Santo André,Sector_2,-23.65108,-46.55835,1.0,1.02,0.04,0.12,33.02,33.25,8.71,31.0,100,8.2,Monsoon,81.34,492.78,1479.12,691.44,2025-09-29 09:27:00,monsoon
India,Kanpur,Sector_1,26.46244,80.27696,5.0,74.71,7.14,1.54,38.26,419.52,101.16,25.1,60,2.6,Monsoon,215.64,0.0,5000.0,5000.0,2025-09-21 17:51:00,monsoon
USA,Washington,Sector_2,38.8609,-77.01081,2.0,6.49,7.95,1.28,31.65,140.45,9.01,9.8,87,5.5,Monsoon,306.48,925.42,5000.0,5000.0,2025-07-24 20:07:00,monsoon
USA,Miami,Sector_4,25.74954,-80.18028,2.0,0.75,0.31,0.4,59.52,52.83,4.81,32.5,100,7.1,Monsoon,368.35,5000.0,5000.0,5000.0,2025-09-26 11:52:00,monsoon
Pakistan,Mardan,City Center,34.1937969,72.0451467,5.0,83.85,4.42,3.2,100.69,816.73,148.54,29.1,53,3.1,Monsoon,235.29,5000.0,5000.0,5000.0,2025-08-21 11:13:00,monsoon
Pakistan,Muzaffargarh,Sector_1,30.03589,71.20593,5.0,117.66,6.81,1.46,64.58,726.59,282.92,23.8,40,4.8,Monsoon,236.06,5000.0,5000.0,5000.0,2025-08-24 13:31:00,monsoon
Germany,Mannheim,City Center,49.4892913,8.4673098,2.0,7.38,14.07,0.89,26.75,229.76,10.05,14.0,100,2.3,Monsoon,438.37,29.16,5000.0,456.9,2025-08-11 11:07:00,monsoon
Pakistan,Multan,Sector_1,30.205,71.43807,5.0,131.47,8.52,1.44,53.04,885.43,250.27,28.2,90,0.9,Monsoon,79.94,5000.0,5000.0,5000.0,2025-08-16 09:56:00,monsoon
Brazil,Belém,Sector_1,-1.46429,-48.45643,1.0,0.97,0.23,0.14,17.24,77.95,2.21,41.8,95,6.1,Monsoon,162.65,267.08,5000.0,1313.75,2025-07-29 12:03:00,monsoon
Nigeria,Ilesa,Sector_3,7.59091,4.71302,1.0,4.2,0.9,0.63,31.51,172.16,5.53,41.8,63,2.9,Monsoon,972.05,5000.0,5000.0,5000.0,2025-07-06 10:27:00,monsoon
Russia,Belgorod,Sector_1,50.59382,36.56852,2.0,5.65,9.76,4.94,17.78,124.19,7.45,12.8,100,4.8,Monsoon,265.14,725.88,1760.26,536.07,2025-07-23 13:00:00,monsoon
Pakistan,Tando Allahyar,City Center,25.4619907,68.7198264,5.0,96.44,6.62,2.29,60.33,528.19,155.7,28.1,51,3.5,Monsoon,125.29,5000.0,5000.0,5000.0,2025-08-13 10:58:00,monsoon
Brazil,Santos,Sector_1,-23.94199,-46.31617,1.0,1.36,0.03,0.13,34.97,34.24,8.86,34.2,100,2.7,Monsoon,115.74,494.07,5000.0,5000.0,2025-08-12 20:25:00,monsoon
Indonesia,Surakarta,Sector_3,-7.57837,110.82212,1.0,0.98,0.03,0.1,34.64,46.42,5.19,36.6,100,4.6,Monsoon,38.52,606.58,1652.51,5000.0,2025-08-05 11:47:00,monsoon
Indonesia,Bogor,Sector_3,-6.5698,106.78092,1.0,0.67,0.15,0.07,23.05,48.69,1.72,39.3,100,3.4,Monsoon,73.32,5000.0,5000.0,5000.0,2025-08-01 10:47:00,monsoon
India,Meerut,Sector_1,29.00357,77.7887,5.0,70.21,27.64,3.42,35.73,790.1,123.32,26.1,60,2.8,Monsoon,5000.0,5000.0,5000.0,5000.0,2025-08-27 16:46:00,monsoon
Germany,Kiel,Sector_3,54.34926,10.18858,3.0,10.6,19.82,1.4,5.77,155.14,18.95,14.7,100,4.4,Monsoon,9.37,251.77,1359.87,412.36,2025-08-24 13:48:00,monsoon
Bangladesh,Dhaka,Sector_1,23.73968,90.35538,5.0,44.67,6.54,2.0,54.74,447.02,57.13,32.6,100,3.8,Monsoon,594.05,170.36,0.0,611.42,2025-07-17 08:55:00,monsoon
China,Chongqing,Sector_1,30.06274,107.89709,5.0,72.36,19.08,18.88,12.91,1000.8,106.05,21.6,100,1.6,Monsoon,807.11,5000.0,5000.0,5000.0,2025-08-02 13:06:00,monsoon
Pakistan,Kotri,Sector_1,25.35821,68.27481,5.0,83.99,4.98,2.9,79.06,435.46,160.62,31.5,42,4.3,Monsoon,387.77,569.58,5000.0,5000.0,2025-09-21 08:12:00,monsoon
Pakistan,Daska,Sector_2,32.35364,74.39383,5.0,116.1,30.58,3.58,23.96,1442.31,201.45,27.4,51,2.7,Monsoon,148.35,5000.0,5000.0,5000.0,2025-08-20 17:35:00,monsoon
India,Jaipur,Sector_1,26.90036,75.85859,5.0,53.58,12.67,4.57,94.49,360.58,95.0,25.8,73,1.7,Monsoon,73.76,5000.0,5000.0,5000.0,2025-08-12 14:35:00,monsoon
Brazil,Fortaleza,Sector_4,-3.76331,-38.52671,1.0,1.05,0.15,0.07,34.03,72.26,3.77,39.2,94,9.7,Monsoon,292.74,429.09,5000.0,1341.71,2025-07-23 11:25:00,monsoon
Indonesia,Pekanbaru,Sector_3,0.52579,101.43988,3.0,11.7,5.64,1.03,0.34,558.13,17.37,36.5,100,4.4,Monsoon,64.94,182.98,5000.0,5000.0,2025-09-02 19:59:00,monsoon
Brazil,Mauá,City Center,-23.6669527,-46.4616922,1.0,1.13,0.05,0.09,32.05,31.11,8.13,27.1,100,7.0,Monsoon,164.59,91.06,5000.0,1256.43,2025-09-18 13:24:00,monsoon
Brazil,Sorocaba,City Center,-23.5003451,-47.4582864,1.0,1.2,0.22,0.15,28.12,37.18,7.01,28.0,96,8.2,Monsoon,57.66,410.11,5000.0,5000.0,2025-07-06 15:33:00,monsoon
USA,Indianapolis,City Center,39.7683331,-86.1583502,1.0,2.77,4.74,1.03,36.38,119.54,5.34,13.2,90,6.0,Monsoon,32.87,1066.06,5000.0,913.24,2025-09-18 19:06:00,monsoon
India,Meerut,Sector_3,29.03043,77.7755,5.0,104.54,23.48,2.72,38.13,907.91,134.1,30.8,51,3.1,Monsoon,339.26,465.37,5000.0,5000.0,2025-07-23 14:20:00,monsoon
Indonesia,Cirebon,Sector_2,-6.67801,108.53918,1.0,0.97,0.95,0.17,24.82,71.86,1.85,38.7,100,3.5,Monsoon,555.1,5000.0,5000.0,5000.0,2025-07-16 18:09:00,monsoon
Germany,Halle,City Center,51.4824354,11.9712985,3.0,13.76,14.45,0.92,20.77,198.75,17.03,17.5,100,7.1,Monsoon,371.94,219.36,2995.73,338.74,2025-09-28 11:42:00,monsoon
Pakistan,Chishtian,Sector_1,29.79235,72.83652,5.0,135.06,1.96,2.63,100.07,565.9,267.15,32.7,39,4.1,Monsoon,743.41,5000.0,5000.0,5000.0,2025-09-16 17:57:00,monsoon
China,Xiamen,Sector_4,24.45824,118.08093,3.0,15.63,5.1,5.69,66.56,131.7,25.12,26.8,90,6.7,Monsoon,16.24,5000.0,5000.0,5000.0,2025-09-23 10:02:00,monsoon
Pakistan,Daska,City Center,32.3323692,74.352516,5.0,107.49,27.02,2.51,24.7,1531.12,214.45,26.5,46,2.8,Monsoon,37.37,5000.0,5000.0,5000.0,2025-08-05 18:05:00,monsoon
China,Quanzhou,Sector_2,25.19136,118.31885,3.0,15.2,10.17,12.09,55.85,153.99,26.72,24.6,90,2.7,Monsoon,738.46,5000.0,5000.0,5000.0,2025-09-22 19:29:00,monsoon
USA,Denver,Sector_2,39.7367,-104.99634,1.0,0.76,1.85,0.06,41.27,59.75,1.04,14.4,63,1.8,Monsoon,1.77,5000.0,5000.0,5000.0,2025-09-18 13:32:00,monsoon
Nigeria,Benin City,Sector_3,6.335,5.603,1.0,0.94,0.1,0.07,16.61,69.57,2.17,42.5,63,3.7,Monsoon,252.16,5000.0,5000.0,5000.0,2025-08-14 18:51:00,monsoon
Brazil,Fortaleza,City Center,-3.7304512,-38.5217989,1.0,0.78,0.17,0.06,36.46,69.2,3.82,39.8,85,9.3,Monsoon,1.5,293.17,5000.0,923.78,2025-09-05 17:41:00,monsoon
Indonesia,Pontianak,Sector_4,-0.02207,109.31553,1.0,0.76,0.13,0.07,34.21,71.84,1.68,35.3,100,1.6,Monsoon,80.03,1272.76,583.64,5000.0,2025-08-09 13:24:00,monsoon
Bangladesh,Faridpur,Sector_3,23.59992,89.79965,5.0,73.06,7.96,4.65,75.51,427.94,101.28,30.6,76,5.1,Monsoon,823.65,5000.0,5000.0,5000.0,2025-08-31 20:55:00,monsoon
Russia,Tomsk,Sector_3,58.609,82.08166,1.0,0.25,0.22,0.2,38.65,84.37,0.33,-12.7,100,4.2,Monsoon,5000.0,5000.0,5000.0,5000.0,2025-07-03 14:30:00,monsoon
Bangladesh,Rangpur,Sector_2,25.60381,89.10296,5.0,75.44,9.97,3.4,52.28,583.49,82.98,31.2,80,3.3,Monsoon,650.23,5000.0,5000.0,5000.0,2025-09-12 13:54:00,monsoon
Bangladesh,Satkhira,City Center,22.7166509,89.0749857,5.0,97.9,7.4,16.39,84.93,668.08,141.26,29.3,77,4.9,Monsoon,64.38,1305.15,623.67,392.51,2025-08-31 13:00:00,monsoon
Indonesia,Dumai,Sector_1,1.67991,101.46596,2.0,5.29,1.36,0.2,5.76,200.8,6.6,31.4,100,2.4,Monsoon,244.16,0.0,1661.5,5000.0,2025-07-25 17:28:00,monsoon
China,Luoyang,City Center,34.6196539,112.4477046,5.0,112.42,45.62,14.2,8.14,881.65,169.2,16.0,72,3.3,Monsoon,100.11,5000.0,5000.0,5000.0,2025-08-19 14:26:00,monsoon
India,Varanasi,City Center,25.3356491,83.0076292,5.0,57.43,4.22,2.25,58.69,315.06,79.08,28.0,61,3.4,Monsoon,133.49,5000.0,5000.0,5000.0,2025-07-06 13:30:00,monsoon
Pakistan,Mirpur Khas,Sector_1,25.53147,68.98136,5.0,83.86,9.11,2.01,54.29,478.41,174.07,32.6,37,4.2,Monsoon,624.05,5000.0,5000.0,5000.0,2025-08-11 13:48:00,monsoon
Brazil,Porto Velho,Sector_3,-8.75309,-63.89742,1.0,0.21,0.09,0.02,2.27,46.99,0.27,34.4,100,3.0,Monsoon,84.0,256.28,5000.0,5000.0,2025-09-24 17:43:00,monsoon
China,Nanning,Sector_3,22.77866,108.3417,5.0,34.15,2.27,4.26,51.67,249.86,53.4,31.5,100,3.8,Monsoon,11.33,5000.0,5000.0,5000.0,2025-09-15 16:26:00,monsoon
Nigeria,Iwo,Sector_2,7.64444,4.18981,2.0,5.75,2.6,1.5,31.91,227.85,14.92,41.6,58,2.6,Monsoon,293.35,5000.0,5000.0,5000.0,2025-07-26 09:09:00,monsoon
China,Chengdu,Sector_1,30.65397,104.04457,5.0,126.75,25.71,22.74,38.02,1005.31,178.29,18.3,100,2.8,Monsoon,18.99,83.39,5000.0,5000.0,2025-09-17 11:15:00,monsoon
China,Zibo,Sector_2,36.80416,118.03678,5.0,90.32,48.68,34.67,0.0,1376.03,166.12,17.7,90,2.8,Monsoon,12.02,5000.0,5000.0,5000.0,2025-09-05 20:51:00,monsoon
Bangladesh,Nawabganj,Sector_4,24.61302,88.24432,5.0,90.63,18.76,3.97,41.63,938.31,113.98,28.1,60,4.8,Monsoon,72.02,411.67,5000.0,5000.0,2025-07-23 12:20:00,monsoon
Brazil,Ananindeua,Sector_3,-1.40949,-48.42664,1.0,1.0,0.27,0.12,26.79,84.34,2.34,39.3,100,6.5,Monsoon,129.46,131.0,5000.0,5000.0,2025-08-09 10:45:00,monsoon
Brazil,Caxias do Sul,Sector_2,-29.17504,-51.13691,2.0,2.07,0.41,1.36,45.82,45.0,3.86,31.7,91,3.4,Monsoon,1001.62,5000.0,5000.0,5000.0,2025-07-21 12:42:00,monsoon
Russia,Kazan,Sector_4,55.80313,49.16846,1.0,2.78,7.66,1.47,15.3,135.68,3.81,-0.6,100,2.4,Monsoon,1394.36,1194.52,5000.0,267.03,2025-07-23 10:36:00,monsoon
USA,New Orleans,City Center,29.9559145,-90.0730259,2.0,1.13,0.95,0.24,59.22,81.35,3.28,27.0,100,5.9,Monsoon,8.27,68.97,5000.0,5000.0,2025-08-29 17:57:00,monsoon
Brazil,Joinville,Sector_3,-26.25973,-48.84532,1.0,1.14,0.22,0.41,42.53,32.49,2.54,39.1,82,5.1,Monsoon,90.42,138.79,5000.0,1287.98,2025-07-11 20:26:00,monsoon
India,Surat,Sector_3,21.20075,72.83774,5.0,79.8,8.14,20.89,106.38,346.0,99.41,34.1,74,4.1,Monsoon,19.1,5000.0,5000.0,5000.0,2025-07-25 08:52:00,monsoon
Bangladesh,Sherpur,Sector_4,25.00869,90.01869,5.0,55.94,6.96,1.61,34.07,494.73,70.68,26.6,94,4.3,Monsoon,212.2,383.81,1142.49,5000.0,2025-09-21 11:36:00,monsoon
Russia,Yaroslavl,Sector_2,57.63954,39.83003,1.0,1.84,4.51,0.75,47.3,91.21,2.21,10.9,100,5.2,Monsoon,336.38,1030.55,5000.0,718.31,2025-09-03 14:04:00,monsoon
Indonesia,Tangerang,Sector_2,-6.13961,106.61707,1.0,0.33,0.25,0.07,17.24,54.69,0.81,35.8,100,6.3,Monsoon,7.83,5000.0,5000.0,5000.0,2025-07-24 10:09:00,monsoon
Brazil,Contagem,Sector_4,-19.91312,-44.06675,1.0,2.14,0.5,0.31,32.46,92.79,2.08,31.8,97,4.5,Monsoon,97.5,283.98,5000.0,5000.0,2025-07-17 18:44:00,monsoon
Bangladesh,Chandpur,City Center,23.2241763,90.6531005,5.0,34.64,4.75,1.39,39.03,296.06,52.05,32.9,85,5.4,Monsoon,71.72,5000.0,5000.0,5000.0,2025-09-04 19:27:00,monsoon
India,Navi Mumbai,Sector_3,19.0156,73.02335,5.0,61.83,1.91,16.81,137.13,442.16,96.87,38.6,72,3.8,Monsoon,78.63,448.18,5000.0,907.25,2025-07-30 18:01:00,monsoon
Pakistan,Sialkot,Sector_3,32.51236,74.56682,5.0,121.66,30.79,2.17,25.26,1512.98,179.52,22.9,96,1.7,Monsoon,438.71,5000.0,5000.0,5000.0,2025-07-06 11:03:00,monsoon
China,Nanjing,Sector_3,32.00822,118.77759,5.0,78.92,60.28,25.27,0.0,1305.69,129.27,14.9,65,4.2,Monsoon,22.6,239.69,1267.61,826.95,2025-08-06 19:45:00,monsoon
Russia,Bryansk,Sector_3,53.26766,34.37174,1.0,3.06,1.7,0.6,39.06,120.8,3.93,8.1,100,4.1,Monsoon,1392.37,573.51,5000.0,1176.98,2025-08-11 16:04:00,monsoon
Indonesia,Kendari,Sector_4,-3.9769,122.51744,1.0,2.73,1.42,0.22,32.88,126.71,3.76,32.4,100,2.1,Monsoon,24.57,5000.0,5000.0,5000.0,2025-08-01 16:33:00,monsoon
Nigeria,Kaduna,Sector_4,10.52044,7.4269,5.0,46.95,0.97,0.18,49.49,154.48,172.68,37.6,33,3.5,Monsoon,91.81,839.47,562.63,5000.0,2025-08-03 11:58:00,monsoon
Pakistan,Larkana,Sector_4,27.59829,68.21211,5.0,65.98,3.99,1.81,69.7,360.4,167.49,34.4,34,3.6,Monsoon,249.28,5000.0,5000.0,5000.0,2025-08-15 19:26:00,monsoon
USA,San Antonio,City Center,29.4246002,-98.4951405,1.0,1.96,2.86,0.03,24.75,99.24,3.64,27.4,100,3.1,Monsoon,57.09,177.4,5000.0,5000.0,2025-08-08 10:38:00,monsoon
Nigeria,Onitsha,Sector_2,6.17126,6.79996,1.0,3.16,0.55,0.46,21.04,131.31,9.86,47.3,48,3.1,Monsoon,558.6,5000.0,5000.0,5000.0,2025-09-08 16:00:00,monsoon
China,Hangzhou,Sector_4,30.24182,120.17553,5.0,71.41,44.68,10.85,0.0,1153.49,156.93,18.1,82,3.4,Monsoon,128.34,972.72,2107.68,1015.78,2025-09-20 13:10:00,monsoon
USA,Nashville,City Center,36.1622767,-86.7742984,2.0,6.0,3.88,0.35,41.74,115.81,7.66,19.1,73,4.6,Monsoon,8.57,600.49,5000.0,527.44,2025-08-28 20:13:00,monsoon
China,Zibo,City Center,36.8129564,118.0488401,5.0,98.6,44.25,33.57,0.0,1303.88,143.96,15.9,85,3.7,Monsoon,72.99,5000.0,5000.0,5000.0,2025-07-21 09:23:00,monsoon
Indonesia,Bogor,Sector_2,-6.60545,106.76008,1.0,0.74,0.09,0.07,26.43,49.74,2.79,37.1,100,3.8,Monsoon,140.81,1359.08,238.84,1437.56,2025-08-27 12:18:00,monsoon
India,Pimpri-Chinchwad,Sector_1,18.65034,73.82146,5.0,47.14,3.39,8.28,89.47,283.72,60.25,33.3,73,3.0,Monsoon,139.4,0.0,5000.0,5000.0,2025-09-30 19:51:00,monsoon
Indonesia,Cimahi,Sector_3,-6.89837,107.51018,1.0,0.83,0.18,0.09,23.86,59.45,3.8,38.3,100,2.4,Monsoon,257.59,5000.0,5000.0,5000.0,2025-08-10 17:26:00,monsoon
Nigeria,Bida,City Center,9.083333,6.016667,4.0,19.08,1.63,0.49,49.01,223.08,71.69,43.8,48,3.6,Monsoon,231.97,5000.0,5000.0,5000.0,2025-09-06 08:16:00,monsoon
Bangladesh,Lakshmipur,City Center,22.9445365,90.8276345,5.0,35.36,1.85,1.54,70.57,275.69,46.46,27.7,90,5.3,Monsoon,33.93,5000.0,5000.0,5000.0,2025-08-24 15:45:00,monsoon
Bangladesh,Habiganj,Sector_3,24.38975,91.44452,5.0,38.52,12.26,2.32,40.5,354.27,47.46,28.1,90,2.9,Monsoon,1796.59,5000.0,5000.0,5000.0,2025-08-04 11:50:00,monsoon
India,Patna,Sector_1,25.58954,85.14191,5.0,70.54,8.01,3.46,40.94,581.49,105.07,26.6,99,3.9,Monsoon,653.59,1148.37,5000.0,5000.0,2025-07-03 19:08:00,monsoon
China,Guangzhou,Sector_2,23.14385,113.26809,5.0,46.44,39.04,24.15,31.34,479.97,68.15,30.2,72,4.6,Monsoon,62.97,5000.0,5000.0,5000.0,2025-07-22 13:14:00,monsoon
Russia,Krasnoyarsk,Sector_3,56.01331,92.82718,2.0,0.2,0.95,0.27,49.11,73.16,0.32,-0.4,94,8.2,Monsoon,141.5,544.7,5000.0,251.15,2025-07-10 16:09:00,monsoon
Indonesia,Batam,Sector_3,1.11201,104.03566,2.0,5.26,2.99,0.23,23.63,218.38,6.64,34.3,100,3.4,Monsoon,5.56,741.86,1739.02,5000.0,2025-09-15 09:23:00,monsoon
Indonesia,Yogyakarta,Sector_2,-7.96846,110.36652,1.0,1.01,0.02,0.08,42.47,49.16,5.37,36.2,100,3.6,Monsoon,654.03,5000.0,5000.0,5000.0,2025-07-14 18:35:00,monsoon
Indonesia,Tanjungpinang,Sector_1,0.93894,104.43785,2.0,5.08,2.36,0.33,29.73,205.65,6.02,35.7,100,5.8,Monsoon,800.02,5000.0,5000.0,5000.0,2025-08-14 09:37:00,monsoon
Brazil,Santo André,City Center,-23.6533509,-46.5279039,1.0,1.57,0.04,0.11,26.33,30.13,7.68,29.4,100,7.4,Monsoon,33.7,205.26,5000.0,1790.84,2025-09-04 12:11:00,monsoon
China,Xi'an,Sector_3,34.25295,108.9761,5.0,61.66,8.26,3.46,42.49,498.63,89.53,8.6,61,2.9,Monsoon,51.23,495.95,5000.0,5000.0,2025-07-28 12:16:00,monsoon
Brazil,Salvador,Sector_4,-12.99453,-38.49674,2.0,0.64,0.1,0.09,44.59,38.54,3.34,39.7,81,7.6,Monsoon,34.27,5000.0,5000.0,5000.0,2025-08-20 08:58:00,monsoon
Brazil,Jaboatão dos Guararapes,Sector_2,-8.21378,-34.95069,2.0,0.97,0.31,0.18,44.96,50.91,2.92,41.7,93,6.3,Monsoon,1028.96,764.44,5000.0,1342.47,2025-07-31 20:54:00,monsoon
China,Baotou,Sector_3,40.60497,109.90941,3.0,13.74,7.38,3.14,38.11,147.5,24.45,9.6,100,5.7,Monsoon,295.09,5000.0,5000.0,5000.0,2025-09-11 11:52:00,monsoon
Indonesia,Bontang,City Center,0.1236548,117.471708,1.0,1.8,3.34,0.82,10.56,145.1,2.66,35.2,100,3.0,Monsoon,371.83,459.26,1357.95,5000.0,2025-07-28 15:25:00,monsoon
Pakistan,Khanpur,Sector_2,28.63949,70.62547,5.0,130.33,2.02,4.17,89.87,626.84,302.57,28.8,33,4.7,Monsoon,1218.24,5000.0,5000.0,5000.0,2025-09-01 15:13:00,monsoon
USA,Las Vegas,Sector_1,36.16639,-115.17645,3.0,5.46,2.55,0.12,39.69,65.5,24.22,20.0,67,3.4,Monsoon,29.1,403.94,5000.0,5000.0,2025-07-25 13:41:00,monsoon
Bangladesh,Narsingdi,Sector_4,23.93655,90.69399,5.0,39.43,7.16,1.57,38.54,273.86,55.75,31.1,82,5.7,Monsoon,703.57,5000.0,5000.0,5000.0,2025-09-06 14:06:00,monsoon
Russia,Izhevsk,Sector_2,56.87428,53.20356,1.0,2.29,9.29,1.48,27.33,102.49,2.99,-7.9,100,2.2,Monsoon,374.45,577.01,5000.0,74.99,2025-09-07 19:32:00,monsoon
Pakistan,Tando Allahyar,Sector_3,25.46463,68.75651,5.0,98.77,4.52,1.75,63.78,480.8,181.29,31.5,39,3.5,Monsoon,510.61,5000.0,5000.0,5000.0,2025-07-29 11:25:00,monsoon
Indonesia,Malang,City Center,-7.9771308,112.6340265,1.0,1.15,0.03,0.1,37.4,44.03,5.35,39.8,100,2.3,Monsoon,64.95,294.58,2059.24,5000.0,2025-07-04 17:05:00,monsoon
Brazil,Manaus,Sector_1,-3.11607,-59.99528,1.0,0.17,0.04,0.0,4.3,48.85,0.27,40.9,100,7.2,Monsoon,154.31,5000.0,5000.0,5000.0,2025-08-22 20:31:00,monsoon
