Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Wind_Direction,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season,Hour,DayOfWeek,Month,Pollution_Source
Germany,Gelsenkirchen,Sector_2,51.5032,7.06033,1.0,2.74,5.67,0.54,24.89,76.79,4.31,15.5,100,1.2,SE,37.58,442.88,2048.77,1085.55,2024-09-23 14:22:00,monsoon,14,0,9,Natural
Germany,Freiburg,Sector_3,47.99848,7.78452,2.0,42.555,24.816,1.5,21.27,847.6959999999999,42.574,22.7,76,2.5,N,574.74,1358.8,162.83,794.4,2024-05-28 16:08:00,spring,16,1,5,Burning
Brazil,Vila Velha,Sector_3,-20.30315,-40.32257,1.0,13.725,9.743999999999998,1.25,113.56,515.488,21.938,48.8,17,7.8,W,32.13,1001.55,1732.46,5000.0,2024-07-31 12:59:00,summer,12,2,7,Vehicular
Indonesia,Bengkulu,Sector_4,-3.98373,101.82926,1.0,0.95,0.11,0.1,26.51,74.22,3.15,37.4,100,8.6,SE,5000.0,5000.0,5000.0,5000.0,2024-08-01 10:12:00,monsoon,10,3,8,Natural
Russia,Tyumen,Sector_2,57.13626,65.5183,1.0,64.38646406334072,7.91,1.68,55.91,251.7169191327825,204.8538913788124,-3.2,59,4.6,SW,418.82,1390.4,2795.0,821.54,2024-06-11 12:30:00,spring,12,1,6,Agricultural
Germany,Cologne,Sector_1,50.94211,6.97478,2.0,87.86895852918323,47.06427305931165,29.99267062143984,8.51,96.73,9.75,15.8,100,3.1,SE,179.1,1012.0,5000.0,608.87,2024-09-24 18:38:00,monsoon,18,1,9,Industrial
Russia,Ufa,Sector_2,54.71268,55.95163,1.0,200.12874243948076,14.086712134479422,0.54,72.97,1480.7337141754165,6.54,5.4,75,2.8,W,173.86,5000.0,5000.0,578.0,2024-06-11 20:44:00,summer,20,1,6,Burning
China,Chongqing,Sector_1,30.06274,107.89709,5.0,188.8,25.94,18.66,25.76,1559.67,261.98,20.3,68,1.0,N,807.11,5000.0,5000.0,5000.0,2024-03-03 19:26:00,spring,19,6,3,Vehicular
Pakistan,Tando Allahyar,Sector_4,25.46243,68.7338,5.0,56.95527322289718,54.74132429285275,29.99267062143984,138.77,1605.08,600.0,38.6,10,2.8,SE,916.95,1944.0,5000.0,5000.0,2024-07-21 13:26:00,summer,13,6,7,Industrial
Indonesia,Depok,City Center,-6.40719,106.8158371,1.0,1.42,0.26,0.12,35.4,88.67,3.61,24.53,94,3.09,N,240.97,218.53,600.97,1440.0,2025-12-17 21:46:20,winter,21,2,12,Natural
Brazil,Contagem,Sector_2,-19.92665,-44.0943,1.0,69.2443030518616,58.4825,29.99267062143984,50.55,172.52,5.24,24.99,69,2.57,NW,38.5,219.0,5000.0,1276.89,2025-12-17 21:33:36,winter,21,2,12,Industrial
China,Nanning,City Center,22.8193063,108.3627211,5.0,108.73461901218644,58.4825,29.99267062143984,96.63,815.8,140.18,31.9,50,3.8,N,56.04,1063.0,5000.0,5000.0,2024-06-26 18:35:00,summer,18,2,6,Industrial
Germany,Bremen,City Center,53.0758196,8.8071646,2.0,52.006952901362,28.32,8.06,7.28,391.5424899589056,177.83403424130756,22.0,100,5.3,SE,297.45,126.74,429.0,764.79,2024-08-28 18:33:00,summer,18,2,8,Industrial
Germany,Bremen,Sector_3,53.04277,8.84683,2.0,51.30455621349928,34.34,5.17,9.33,363.5344482085155,166.70304466423556,18.4,100,5.3,S,403.1,591.36,1543.0,578.96,2024-07-23 15:36:00,spring,15,1,7,Industrial
Germany,Halle,Sector_1,51.49603,11.9749,3.0,10.99,17.16,1.59,20.82,197.63,23.27,8.6,100,7.4,SE,675.25,914.03,1657.67,251.69,2024-08-16 17:32:00,monsoon,17,4,8,Natural
Nigeria,Maiduguri,Sector_1,11.83729,13.18663,5.0,171.23282113681975,14.772136924408706,0.21,120.78,1932.16590203912,600.0,43.2,10,6.3,N,29.93,5000.0,5000.0,582.0,2024-07-01 15:54:00,summer,15,0,7,Burning
Indonesia,Metro,Sector_4,-5.12013,105.34195,1.0,1.98,0.11,0.09,48.8,193.28,3.75,26.0,69,3.4,NE,454.43,5000.0,5000.0,5000.0,2024-04-12 08:56:00,spring,8,4,4,Natural
Russia,Perm,Sector_3,57.9974,56.29995,1.0,98.2767017222294,7.02,0.78,61.38,340.44593226652887,292.6600150880354,-0.9,42,1.9,SW,292.0,346.78,755.0,898.46,2024-07-12 20:31:00,spring,20,4,7,Burning
USA,Tucson,City Center,32.2228765,-110.974847,2.0,3.3,2.17,0.45,40.21,80.91,6.54,13.4,75,6.1,SE,32.52,594.0,5000.0,5000.0,2024-07-23 12:10:00,monsoon,12,1,7,Natural
China,Zhengzhou,Sector_1,34.75948,113.57992,5.0,422.12,58.4825,17.16,0.0,1946.85,387.38,13.8,51,4.4,NE,2.68,5000.0,5000.0,5000.0,2024-03-24 16:44:00,spring,16,6,3,Vehicular
India,Agra,Sector_3,27.2053,78.0132,5.0,187.46,13.72,4.8,153.81,676.53,247.63,28.6,30,1.4,NE,301.43,5000.0,5000.0,5000.0,2024-04-17 13:31:00,spring,13,2,4,Vehicular
Brazil,Cuiabá,Sector_3,-15.62898,-56.09479,1.0,1.54,0.29,0.09,31.13,189.27,1.6,40.0,41,4.0,SE,64.19,69.18,5000.0,5000.0,2024-06-03 14:43:00,summer,14,0,6,Natural
Bangladesh,Madaripur,Sector_4,23.14885,90.20537,5.0,38.21,2.22,3.29,37.34,259.39,58.38,31.1,90,4.9,SE,1719.79,5000.0,5000.0,5000.0,2024-08-02 15:41:00,monsoon,15,4,8,Natural
Bangladesh,Comilla,City Center,23.4628834,91.1827987,5.0,287.9076747965267,13.674250331598383,2.13,53.84,1120.255614200094,56.99,27.7,100,4.9,S,92.18,1602.92,5000.0,1831.0,2024-07-02 15:28:00,monsoon,15,1,7,Vehicular
Brazil,São Vicente,Sector_4,-23.95099,-46.42824,1.0,1.08,0.11,0.22,33.24,34.9469,8.12,35.7,100,2.9,E,1389.63,5000.0,5000.0,5000.0,2024-07-09 09:55:00,monsoon,9,1,7,Natural
Russia,Vladivostok,Sector_3,43.1191,131.93587,2.0,105.18609287052315,43.511589400041366,29.99267062143984,113.16,335.71,8.03,6.2,19,4.3,SW,149.72,406.0,5000.0,787.57,2024-07-16 09:01:00,summer,9,1,7,Industrial
India,Chennai,Sector_3,13.10023,80.29849,4.0,62.27591093229975,11.33,9.99,153.7,328.7036247400305,182.86764607207152,39.6,49,3.9,SW,462.61,2.61,585.0,5000.0,2024-06-13 19:53:00,spring,19,3,6,Industrial
Pakistan,Chiniot,City Center,31.7309524,72.9834213,5.0,316.9402390534218,17.30587903098848,3.7,36.97,1266.3120074931512,126.55,26.5,48,4.2,SE,254.76,5000.0,5000.0,2966.0,2024-09-14 13:18:00,monsoon,13,5,9,Vehicular
Brazil,Belo Horizonte,Sector_2,-19.91196,-43.9588,1.0,7.21,1.41,0.69,50.7,211.28,7.36,25.31,69,2.57,NW,56.97,306.89,5000.0,857.09,2025-12-17 21:32:52,winter,21,2,12,Natural
Nigeria,Port Harcourt,Sector_2,4.79329,7.04678,1.0,89.46679088611587,0.11,0.09,10.36,258.68639172525616,162.67213889169702,33.0,82,7.2,SE,537.47,5000.0,2702.0,5000.0,2024-07-19 11:10:00,spring,11,4,7,Burning
Indonesia,Kupang,Sector_1,-10.13998,123.59118,1.0,7.07,0.66,0.09,80.37,320.29,6.9,32.6,83,1.3,N,1779.68,5000.0,5000.0,5000.0,2024-04-06 15:57:00,spring,15,5,4,Natural
India,Mumbai,Sector_2,19.09523,72.86106,5.0,223.97,3.39,21.37,265.655,756.69,245.38,41.9,23,4.0,W,530.78,369.93,5000.0,5000.0,2024-06-24 16:34:00,summer,16,0,6,Industrial
USA,Tampa,Sector_2,27.97066,-82.45567,2.0,4.455,1.92,0.23,178.23,328.016,16.799999999999997,31.8,65,5.8,SE,31.09,356.34,1687.46,5000.0,2024-06-30 09:45:00,summer,9,6,6,Natural
Brazil,Feira de Santana,Sector_2,-12.24603,-38.96553,1.0,1.99,0.16,0.14,103.72,93.33,9.06,44.8,19,3.3,NE,7.74,194.57,5000.0,5000.0,2024-03-15 09:29:00,spring,9,4,3,Natural
Germany,Krefeld,City Center,51.3331205,6.5623343,2.0,301.39258895948603,27.266748169364117,0.74,47.11,2156.847874123886,19.54,19.1,57,5.5,SW,136.99,178.01,5000.0,392.0,2024-06-28 17:06:00,summer,17,4,6,Burning
Russia,Irkutsk,Sector_2,52.28643,104.29756,2.0,0.5,0.3,0.23,71.19,137.04,0.61,-11.6,92,2.0,N,60.04,5000.0,5000.0,5000.0,2025-12-17 21:54:17,winter,21,2,12,Natural
USA,Seattle,Sector_2,47.6181,-122.34326,2.0,250.14019697052112,37.14693654789208,0.24,52.59,2021.947278143088,1.07,18.1,100,8.6,SE,38.24,28.39,5000.0,2141.0,2024-09-09 17:35:00,monsoon,17,0,9,Industrial
Indonesia,Yogyakarta,Sector_3,-7.96512,110.36048,1.0,2.02,0.11,0.12,91.25,81.89,14.51,37.3,76,3.2,NE,81.08,5000.0,5000.0,5000.0,2024-05-08 18:11:00,spring,18,2,5,Natural
Bangladesh,Rajshahi,Sector_3,24.66996,89.03257,5.0,342.73,35.63,10.19,78.43,2102.62,446.69,31.1,26,3.7,SE,5000.0,5000.0,5000.0,5000.0,2024-07-18 18:37:00,summer,18,3,7,Agricultural
Russia,Tyumen,Sector_2,57.13626,65.5183,1.0,200.1749395049153,14.889086612044448,2.15,37.07,1219.6923429321869,2.95,-14.96,85,3.0,NW,418.82,1390.4,5000.0,557.0,2025-12-17 21:39:26,winter,21,2,12,Burning
Brazil,Natal,Sector_1,-5.7853,-35.21877,2.0,43.57599364145773,0.58,0.41,73.58,241.24675356640137,216.04408002285916,30.29,58,7.72,NW,823.11,5000.0,2898.0,5000.0,2025-12-17 20:23:27,summer,20,2,12,Agricultural
Bangladesh,Nilphamari,City Center,25.9339275,88.8534588,5.0,72.58,9.03,4.45,28.02,280.03,103.18,25.5,66,1.9,SE,114.89,516.84,412.79,5000.0,2024-07-21 17:30:00,monsoon,17,6,7,Natural
Nigeria,Kaduna,Sector_1,10.53253,7.45931,5.0,192.4043521170564,32.52428495385642,0.33,151.07,1029.9681427381197,600.0,44.6,10,1.5,W,363.96,1385.57,1466.33,2902.0,2024-08-02 19:32:00,summer,19,4,8,Industrial
USA,Houston,Sector_2,29.79328,-95.33568,2.0,1.64,0.96,0.26,120.92,196.83,3.51,31.2,70,4.3,N,79.99,5000.0,5000.0,5000.0,2024-06-27 10:10:00,summer,10,3,6,Natural
Indonesia,Pontianak,City Center,-0.0226903,109.3447488,1.0,76.06301378415989,0.21,0.09,26.76,201.70120165786324,260.6573371700515,32.1,100,1.6,E,448.82,655.69,2752.0,5000.0,2024-09-07 19:52:00,spring,19,5,9,Agricultural
Bangladesh,Comilla,City Center,23.4628834,91.1827987,5.0,290.7155628374083,25.039750459382795,3.17,75.13,985.2449252998828,91.37,18.83,69,2.43,W,92.18,1602.92,5000.0,2801.0,2025-12-17 21:37:24,winter,21,2,12,Burning
Indonesia,Tegal,Sector_3,-6.87699,109.14105,1.0,2.62,0.81,0.17,59.09,137.72,7.76,33.2,72,4.7,NE,421.17,5000.0,5000.0,5000.0,2024-03-18 10:35:00,spring,10,0,3,Natural
India,Bhopal,Sector_4,23.29156,77.40514,4.0,72.52,4.95,2.29,65.94,323.52,78.56,17.16,59,2.57,NW,186.58,5000.0,5000.0,5000.0,2025-12-17 20:19:46,winter,20,2,12,Natural
Pakistan,Chiniot,Sector_4,31.71107,72.98069,5.0,500.0,23.88,3.55,154.51,3000.0,600.0,39.8,10,4.2,SW,167.67,5000.0,5000.0,5000.0,2024-07-09 16:29:00,summer,16,1,7,Vehicular
Brazil,Aparecida de Goiânia,City Center,-16.8226769,-49.2452546,1.0,3.18,1.45,0.09,43.76,257.36,3.48,40.3,52,2.0,NE,24.09,5000.0,5000.0,5000.0,2024-04-11 19:32:00,spring,19,3,4,Natural
India,Bhopal,Sector_4,23.29156,77.40514,4.0,24.51,3.75,1.6,43.53,202.17,29.04,25.2,80,4.2,SE,186.58,5000.0,5000.0,5000.0,2024-07-08 08:00:00,monsoon,8,0,7,Natural
Nigeria,Jimeta,City Center,9.2780486,12.4528047,5.0,23.28,0.47,0.17,46.57,72.11,106.92,45.7,35,3.3,SE,93.13,5000.0,5000.0,5000.0,2024-09-18 12:45:00,monsoon,12,2,9,Natural
Bangladesh,Bogra,Sector_4,24.85031,89.39749,5.0,303.74379180238486,32.84832744084949,8.05,90.0,1247.5064490366926,600.0,34.2,32,3.3,SW,37.87,1342.22,1149.45,579.0,2024-08-31 10:28:00,summer,10,5,8,Industrial
China,Xuzhou,City Center,34.2665258,117.1810431,5.0,88.45,58.4825,16.91,0.0,903.3,103.53,15.9,94,3.6,SE,115.39,1024.82,5000.0,589.48,2024-08-09 15:37:00,monsoon,15,4,8,Industrial
Germany,Essen,Sector_1,51.41657,7.04211,1.0,14.580000000000002,16.644,0.6,83.67,602.624,20.272,21.4,53,2.5,N,1110.71,1779.65,2093.59,1333.59,2024-08-15 20:12:00,summer,20,3,8,Burning
Indonesia,Binjai,City Center,3.6063964,98.4899865,1.0,10.67,2.51,0.22,6.28,407.11,12.65,38.8,80,3.0,N,42.38,5000.0,5000.0,5000.0,2024-06-09 08:12:00,summer,8,6,6,Vehicular
Brazil,Nova Iguaçu,Sector_1,-22.72976,-43.45687,1.0,5.64,0.11,0.2,84.19,94.54,20.17,37.8,44,4.9,W,99.45,467.77,5000.0,5000.0,2024-07-22 20:50:00,summer,20,0,7,Natural
Bangladesh,Sirajganj,Sector_2,24.47592,89.7074,5.0,171.16,20.54,4.39,48.45,1023.47,197.33,20.91,66,3.8,NW,24.88,5000.0,5000.0,5000.0,2025-12-17 21:43:40,winter,21,2,12,Vehicular
Bangladesh,Dhaka,Sector_4,23.72118,90.39145,5.0,122.64,13.38,3.05,149.36,921.69,182.24,38.1,52,2.4,SW,124.41,513.39,5000.0,156.59,2024-06-28 20:00:00,summer,20,4,6,Burning
Indonesia,Semarang,City Center,-6.9903988,110.4229104,2.0,135.24153757985547,22.301233164125332,3.04,30.83,2057.083874684823,24.69,26.97,89,0.265,NW,83.72,130.57,5000.0,522.0,2025-12-17 20:43:58,winter,20,2,12,Burning
India,Ranchi,Sector_2,23.37931,85.32798,5.0,120.5062467382516,34.73020614880848,17.258788382755093,94.26,1634.976,291.62,28.0,50,3.0,W,75.47,1794.0,928.7,5000.0,2024-07-26 20:19:00,summer,20,4,7,Industrial
India,Guwahati,Sector_4,26.16781,91.77928,3.0,53.48,12.4,1.53,59.61,611.03,73.21,27.7,32,2.0,SW,15.4,5000.0,5000.0,5000.0,2024-07-22 20:44:00,summer,20,0,7,Vehicular
Bangladesh,Habiganj,City Center,24.3875279,91.412045,5.0,127.93,18.22,4.84,61.78,1123.49,128.74,34.7,35,3.9,SW,63.91,5000.0,5000.0,5000.0,2024-08-13 17:44:00,summer,17,1,8,Vehicular
Russia,Barnaul,Sector_1,53.3422,83.80964,1.0,0.86,4.4,7.87,85.72,254.73,1.01,-3.4,37,8.0,SW,1673.39,704.5,5000.0,251.29,2024-07-19 16:21:00,summer,16,4,7,Industrial
Germany,Bielefeld,Sector_3,52.03469,8.50383,2.0,18.68,25.71,1.95,22.64,313.92,23.16,8.73,86,3.1,NW,341.17,360.35,724.27,246.58,2025-12-17 20:25:20,winter,20,2,12,Vehicular
Nigeria,Ilesa,Sector_3,7.59091,4.71302,1.0,176.9800925624636,28.63311336894095,1.02,22.02,1041.021360416276,9.21,35.3,61,3.5,SE,972.05,5000.0,5000.0,1924.0,2024-09-30 18:37:00,monsoon,18,0,9,Vehicular
Indonesia,South Tangerang,Sector_2,-6.34849,106.69468,1.0,82.30968498817029,58.4825,29.99267062143984,18.21,51.31,1.54,32.9,100,6.2,SE,163.76,1861.0,142.61,5000.0,2024-08-20 15:24:00,monsoon,15,1,8,Industrial
Indonesia,Bogor,City Center,-6.5963564,106.7973188,1.0,3.45,0.324,0.1,68.24,178.06400000000002,10.668,44.4,59,2.8,SW,314.71,693.09,367.98,573.63,2024-07-17 10:51:00,summer,10,2,7,Natural
Nigeria,Abeokuta,Sector_4,7.15628,3.32524,1.0,9.94,0.12,0.11,90.65,278.92,21.17,47.0,31,5.4,SW,64.83,5000.0,5000.0,5000.0,2024-08-29 11:28:00,summer,11,3,8,Natural
Brazil,Goiânia,Sector_3,-16.69655,-49.25811,1.0,4.64,1.5,0.09,35.25,295.92,5.17,34.0,68,2.9,NE,12.91,5000.0,5000.0,5000.0,2024-05-28 13:36:00,spring,13,1,5,Natural
Pakistan,Sadiqabad,Sector_4,28.34375,70.12004,5.0,355.96,4.58,11.07,134.05,1109.06,560.48,20.6,15,2.71,W,274.55,5000.0,5000.0,5000.0,2025-12-17 20:20:19,winter,20,2,12,Vehicular
China,Nanchang,Sector_3,28.66067,116.04128,5.0,388.78,58.4825,29.93,56.3,2281.51,499.01,28.7,28,5.3,SE,973.55,5000.0,5000.0,5000.0,2024-07-22 10:43:00,summer,10,0,7,Vehicular
India,Thane,Sector_3,19.3192,73.38423,5.0,243.41708732876148,10.860336102019865,24.62,265.655,2004.687865334129,308.08,33.9,30,0.6,NE,75.6,5000.0,5000.0,602.0,2024-04-16 08:50:00,spring,8,1,4,Burning
China,Kunming,Sector_4,25.03393,102.67008,3.0,311.26177951331374,11.900610544625147,3.99,8.94,2222.056454358254,20.12,17.9,100,1.2,SE,3.71,5000.0,5000.0,2628.0,2024-08-30 20:25:00,monsoon,20,4,8,Vehicular
USA,El Paso,Sector_3,31.75501,-106.46711,1.0,278.50998886889863,21.31569047399151,0.37,40.55,1305.7588871360583,9.03,8.04,37,2.57,N,190.87,189.55,5000.0,494.0,2025-12-17 21:27:22,winter,21,2,12,Burning
USA,Denver,Sector_3,39.7053,-105.00922,1.0,0.64,1.84,0.11,25.99,45.02,0.94,14.8,65,2.3,SE,190.59,1387.47,5000.0,1556.59,2024-08-06 11:50:00,monsoon,11,1,8,Natural
Indonesia,Cirebon,Sector_4,-6.67964,108.56898,1.0,4.16,1.9,0.27,79.11,270.02,5.78,45.0,63,2.7,SW,5000.0,5000.0,5000.0,5000.0,2024-06-29 18:34:00,summer,18,5,6,Natural
USA,New York,Sector_3,40.72388,-74.04845,2.0,234.94388939456476,20.52669374047874,2.19,23.12,2449.873384567909,9.01,12.6,100,5.4,SE,130.89,225.19,5000.0,1772.0,2024-08-02 17:26:00,monsoon,17,4,8,Vehicular
Nigeria,Uyo,City Center,5.0322447,7.924791,1.0,1.25,0.18,0.11,18.97,122.62,2.5,30.26,58,4.62,N,146.24,5000.0,5000.0,5000.0,2025-12-17 21:29:10,winter,21,2,12,Natural
USA,Virginia Beach,Sector_4,36.8183,-75.98697,2.0,10.89,4.71,1.26,83.6,250.64,13.95,16.2,33,4.2,NE,180.66,5000.0,5000.0,5000.0,2024-05-26 09:50:00,spring,9,6,5,Natural
Bangladesh,Chittagong,City Center,22.333778,91.8344348,4.0,58.102153167483365,0.54,3.27,83.0,316.61842781245434,148.65271890530613,28.8,100,3.6,E,30.3,5000.0,365.0,5000.0,2024-08-24 08:33:00,spring,8,5,8,Agricultural
Nigeria,Okene,Sector_1,7.47832,6.37685,3.0,76.60706164107776,0.9,0.77,83.08,231.4034305768635,259.7763834611467,42.8,19,4.7,N,5000.0,5000.0,848.0,5000.0,2024-05-13 17:35:00,summer,17,0,5,Agricultural
India,Bhopal,City Center,23.2584857,77.401989,4.0,23.59,3.68,1.24,41.69,180.13,47.46,24.6,88,4.4,SE,343.02,5000.0,5000.0,5000.0,2024-07-13 20:47:00,monsoon,20,5,7,Natural
USA,Dallas,Sector_1,32.76507,-96.80113,1.0,66.41182242088607,7.78,0.13,55.74,281.6722924253413,220.51997229011877,34.1,73,4.9,SW,117.2,5000.0,730.0,5000.0,2024-07-11 16:28:00,spring,16,3,7,Agricultural
USA,New York,Sector_4,40.73769,-74.02676,2.0,18.26,11.64,2.06,49.55,264.28,27.05,6.1,55,4.3,NE,205.3,890.85,5000.0,73.01,2024-03-01 18:20:00,spring,18,4,3,Natural
Germany,Berlin,Sector_4,52.54168,13.43348,3.0,88.96159954266881,58.4825,29.99267062143984,51.44,905.936,77.21,16.1,68,4.7,SW,234.39,1511.0,2298.28,293.94,2024-08-29 20:29:00,summer,20,3,8,Industrial
Indonesia,Yogyakarta,Sector_3,-7.96512,110.36048,1.0,87.17282323154582,0.11,0.15,40.21,210.76102036813023,200.50461528157052,31.1,100,3.6,SE,81.08,5000.0,1507.0,5000.0,2024-08-17 20:23:00,summer,20,5,8,Burning
Indonesia,Depok,Sector_3,-6.43736,106.82177,1.0,2.11,0.29,0.12,81.91,189.14,5.92,38.8,53,3.5,W,39.34,5000.0,5000.0,5000.0,2024-08-08 12:25:00,summer,12,3,8,Natural
India,Bhopal,Sector_4,23.29156,77.40514,4.0,91.18,5.12,2.5,125.86,474.51,121.64,32.9,41,3.9,W,186.58,5000.0,5000.0,5000.0,2024-06-20 18:24:00,summer,18,3,6,Vehicular
India,Srinagar,City Center,34.0747444,74.8204443,5.0,138.3864825109747,58.4825,26.367607874333306,149.03,2536.2080000000005,432.138,20.3,24,0.9,NE,24.38,2404.0,2222.98,5000.0,2024-05-09 18:08:00,spring,18,3,5,Industrial
India,Nashik,City Center,20.0112475,73.7902364,5.0,427.62,35.436,29.93,183.67,3000.0,339.472,34.7,11,3.1,SE,43.65,388.16,814.74,5000.0,2024-07-13 13:05:00,summer,13,5,7,Industrial
Bangladesh,Habiganj,City Center,24.3875279,91.412045,5.0,82.11,18.57,4.8,59.41,715.35,104.71,19.84,58,2.03,NW,63.91,5000.0,5000.0,5000.0,2025-12-17 20:51:03,winter,20,2,12,Vehicular
Pakistan,Hyderabad,Sector_3,25.3944,68.40366,5.0,287.31,6.09,2.64,165.28,727.86,510.65,38.6,10,3.5,NE,98.32,5000.0,5000.0,5000.0,2024-05-19 11:42:00,spring,11,6,5,Vehicular
Bangladesh,Natore,City Center,24.4131849,88.9866684,5.0,500.0,41.4,11.67,92.11,3000.0,450.45,24.3,28,3.9,NE,68.41,627.78,466.08,5000.0,2024-05-16 14:07:00,spring,14,3,5,Industrial
China,Xi'an,Sector_1,34.21886,108.92842,5.0,165.93,13.36,6.02,67.21,833.92,186.7,7.07,45,1.54,NW,125.92,816.44,5000.0,5000.0,2025-12-17 20:10:45,winter,20,2,12,Industrial
USA,Mesa,Sector_4,33.44513,-111.8084,3.0,33.78,2.13,0.68,143.38,188.58,83.52,16.0,36,4.0,N,371.43,5000.0,5000.0,5000.0,2024-04-01 12:14:00,spring,12,0,4,Agricultural
India,Bhopal,Sector_2,23.23681,77.42635,4.0,90.76787669840428,3.54,2.22,112.85,279.63907670012736,296.5011867096788,29.9,40,4.0,SW,2.94,5000.0,195.0,5000.0,2024-07-31 18:06:00,spring,18,2,7,Burning
Indonesia,Jambi,City Center,-1.7069965,102.7140041,1.0,13.23,3.36,0.38,6.09,384.25,13.42,31.8,83,2.4,N,5000.0,5000.0,5000.0,5000.0,2024-03-29 16:45:00,spring,16,4,3,Natural
Russia,Magnitogorsk,Sector_2,53.41637,58.9436,2.0,166.76385179197243,31.99120025132427,1.05,62.45,1111.7099420518148,3.13,-10.05,73,4.0,NW,904.93,1167.12,5000.0,2238.0,2025-12-17 21:11:10,winter,21,2,12,Industrial
Nigeria,Calabar,City Center,4.9795999,8.3373597,1.0,305.37970177926536,11.149102009880872,0.09,34.7,2446.9663270784317,3.12,47.8,40,6.2,W,97.89,1159.2,5000.0,747.0,2024-08-02 08:48:00,summer,8,4,8,Burning
Nigeria,Port Harcourt,Sector_4,4.77525,6.99064,1.0,1.18,0.11,0.09,29.5,166.62,2.63,34.1,60,6.5,E,1030.97,5000.0,5000.0,5000.0,2024-05-18 12:25:00,spring,12,5,5,Natural
Nigeria,Abuja,City Center,9.0643305,7.4892974,5.0,201.66968131888095,29.63864291346888,0.49,73.81,1248.2452903139224,321.92,33.14,16,1.95,NW,85.25,93.06,5000.0,2293.0,2025-12-17 20:43:09,winter,20,2,12,Burning
Bangladesh,Khulna,City Center,22.9372087,89.2852741,5.0,88.33,11.49,18.82,89.72,544.64,124.23,29.6,92,3.3,SE,5000.0,5000.0,5000.0,5000.0,2024-07-26 10:18:00,monsoon,10,4,7,Natural
Indonesia,Kupang,Sector_2,-10.132,123.59908,1.0,4.94,0.78,0.14,52.19,270.56,5.55,26.67,100,0.51,NW,5000.0,5000.0,5000.0,5000.0,2025-12-17 20:49:21,winter,20,2,12,Natural
India,Ahmedabad,Sector_3,23.05056,72.58374,5.0,148.11,11.2,10.6,165.01,894.71,200.04,33.8,60,4.1,NE,3.87,1307.22,5000.0,5000.0,2024-03-30 20:28:00,spring,20,5,3,Industrial
