Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Albania,Kruje,,,,,,
India,Kuju,,,,,,
Ghana,Kumasi,,,,,,
Russian Federation,Kursk,,,,,,
Colombia,La Ceja,,,,,,
Ecuador,La Mana,,,,,,
United States of America,Lacey,,,,,,
Mexico,Tecamachalco,,,,,,
Burkina Faso,Tenkodogo,,,,,,
Thailand,That Phanom,,,,,,
United States of America,Thibodaux,,,,,,
Romania,Titu,,,,,,
Japan,Toda,,,,,,
Chile,Tome,,,,,,
Botswana,Tonota,,,,,,
Greece,Triandria,,,,,,
Czechia,Trinec,,,,,,
Poland,Trzcianka,,,,,,
Russian Federation,Tsivilsk,,,,,,
Colombia,Tuquerres,,,,,,
India,Uchana,,,,,,
India,Ulundurpettai,,,,,,
United States of America,University Place,,,,,,
Russian Federation,Ust Kut,,,,,,
South Sudan,Uwayl,,,,,,
Sweden,Varnamo,,,,,,
Sweden,Vasteras,,,,,,
Netherlands,Veendam,,,,,,
Turkey,Vezirkopru,,,,,,
Mexico,Victor Rosales,,,,,,
Malaysia,Sungai Petani,,,,,,
Hungary,Szentendre,,,,,,
Iran (Islamic Republic of),Tabas,,,,,,
Thailand,Tak Bai,,,,,,
Japan,Takahata,,,,,,
Japan,Tama,,,,,,
Australia,Tamworth,,,,,,
Sudan,Tandalti,,,,,,
Indonesia,Tanggul,,,,,,
France,Tarbes,,,,,,
Poland,Tarnowskie Gory,,,,,,
Tunisia,Tatawin,,,,,,
Germany,Taucha,,,,,,
United States of America,Sterling Heights,,,,,,
United States of America,Storrs,,,,,,
Canada,Summerside,,,,,,
Chile,Villa Alemana,,,,,,
Russian Federation,Vinzili,,,,,,
France,Vire,,,,,,
India,Vizianagaram,,,,,,
Kenya,Voi,,,,,,
Russian Federation,Vologda,,,,,,
Ghana,Wa,,,,,,
Germany,Waghausel,,,,,,
Austria,Waidhofen,,,,,,
Namibia,Walvis Bay,,,,,,
United States of America,Warrington,,,,,,
China,Weifang,,,,,,
Pakistan,Sargodha,,,,,,
Italy,Sarzana,,,,,,
Germany,Schoningen,,,,,,
Germany,Schwalmtal,,,,,,
Germany,Schwerin,,,,,,
Germany,Schwerte,,,,,,
United States of America,Seaford,,,,,,
India,Sedam,,,,,,
Italy,Selargius,,,,,,
Italy,Seravezza,,,,,,
Zambia,Sesheke,,,,,,
India,Shankargarh,,,,,,
India,Shimoga,,,,,,
India,Shirpur,,,,,,
Myanmar,Shwebo,,,,,,
Philippines,Silay,,,,,,
United States of America,Sioux Falls,,,,,,
India,Sirumugai,,,,,,
India,Sohna,,,,,,
Guatemala,San Francisco El Alto,,,,,,
Spain,San Juan De Aznalfarache,,,,,,
Mexico,San Luis De La Paz,,,,,,
Philippines,San Pascual,,,,,,
Iran (Islamic Republic of),Sanandaj,,,,,,
India,Sangamner,,,,,,
Brazil,Santo Angelo,,,,,,
Portugal,Sao Mamede De Infesta,,,,,,
Afghanistan,Sar E Pul,,,,,,
United States of America,Glasgow,,,,,,
China,Gongzhuling,,,,,,
France,Graulhet,,,,,,
France,Grenoble,,,,,,
Honduras,Guaimaca,,,,,,
Brazil,Guaira,,,,,,
Japan,Gyoda,,,,,,
Poland,Hajnowka,,,,,,
United States of America,Hammonton,,,,,,
United States of America,Hanson,,,,,,
India,Harpalpur,,,,,,
Iran (Islamic Republic of),Harsin,,,,,,
Japan,Hatsukaichi,,,,,,
France,Henin Beaumont,,,,,,
Germany,Herbrechtingen,,,,,,
United States of America,Hershey,,,,,,
United Kingdom of Great Britain and Northern Ireland,Heywood,,,,,,
United States of America,Hialeah Gardens,,,,,,
Germany,Hildesheim,,,,,,
Pakistan,Hingorja,,,,,,
Lesotho,Hlotse,,,,,,
United States of America,Hollywood,,,,,,
United States of America,Hopkins,,,,,,
Norway,Horten,,,,,,
Libya,Hun,,,,,,
Japan,Isahaya,,,,,,
Brazil,Itacare,,,,,,
Brazil,Itapecerica Da Serra,,,,,,
Paraguay,Itaugua,,,,,,
Brazil,Jandira,,,,,,
Brazil,Japeri,,,,,,
Dominican Republic,Jarabacoa,,,,,,
Brazil,Jardim,,,,,,
Tunisia,Jarjis,,,,,,
United States of America,Jasmine Estates,,,,,,
India,Jatni,,,,,,
China,Jiexiu,,,,,,
China,Juegang,,,,,,
Democratic Republic of the Congo,Kabinda,,,,,,
India,Kaimganj,,,,,,
India,Kambam,,,,,,
Democratic Republic of the Congo,Kambove,,,,,,
Japan,Kasumigaura,,,,,,
Lithuania,Kedainiai,,,,,,
Germany,Kempen,,,,,,
Pakistan,Khairpur Nathan Shah,,,,,,
India,Khudaganj,,,,,,
Ukraine,Khust,,,,,,
Russian Federation,Kirensk,,,,,,
Nepal,Kirtipur,,,,,,
United Republic of Tanzania,Kisesa,,,,,,
Unknown,Kishiwada,,,,,,
Germany,Kissing,,,,,,
Uzbekistan,Kitob,,,,,,
Russian Federation,Kolpino,,,,,,
Switzerland,Koniz,,,,,,
Belgium,Kontich,,,,,,
Slovenia,Kranj,,,,,,
Germany,Kriftel,,,,,,
Russian Federation,Krivyanskaya,,,,,,
Japan,Kushima,,,,,,
France,La Garde,,,,,,
United States of America,La Mesa,,,,,,
Hungary,Lajosmizse,,,,,,
C̫te d'Ivoire,Lakota,,,,,,
Peru,Lamas,,,,,,
United States of America,Lansing,,,,,,
China,Lanzhou,,,,,,
Mexico,Las Rosas,,,,,,
Ecuador,Latacunga,,,,,,
France,Le Havre,,,,,,
Portugal,Leca Da Palmeira,,,,,,
Kazakhstan,Lenger,,,,,,
China,Lengshuijiang,,,,,,
China,Leshan,,,,,,
Belgium,Liedekerke,,,,,,
Unknown,Liepaja,,,,,,
United States of America,Linda,,,,,,
United States of America,Lindenwold,,,,,,
United States of America,Little Chute,,,,,,
United States of America,Livonia,,,,,,
Spain,Llanera,,,,,,
Angola,Longonjo,,,,,,
Mexico,Los Reyes,,,,,,
Poland,Lubliniec,,,,,,
United States of America,Ludlow,,,,,,
Russian Federation,Lukoyanov,,,,,,
Ecuador,Machala,,,,,,
United States of America,Marietta,,,,,,
Libya,Marzuq,,,,,,
France,Matoury,,,,,,
France,Maurepas,,,,,,
Cameroon,Melong,,,,,,
Angola,Menongue,,,,,,
Poland,Milanowek,,,,,,
Bolivia (Plurinational State of),Mineros,,,,,,
Pakistan,Mingaora,,,,,,
United States of America,Mission Viejo,,,,,,
Germany,Mittweida,,,,,,
Spain,Moguer,,,,,,
France,Moissac,,,,,,
Spain,Molina De Segura,,,,,,
Brazil,Mongagua,,,,,,
Chile,Monte Patria,,,,,,
Italy,Muggia,,,,,,
United States of America,Munhall,,,,,,
Hungary,Nagyatad,,,,,,
India,Najibabad,,,,,,
Japan,Nakama,,,,,,
China,Nandu,,,,,,
India,Nandyal,,,,,,
Kenya,Nanyuki,,,,,,
Pakistan,Narang,,,,,,
Brazil,Natividade,,,,,,
Ireland,Navan,,,,,,
India,Nayudupeta,,,,,,
Netherlands,Neerijnen,,,,,,
Germany,Neubrandenburg,,,,,,
United States of America,New Cassel,,,,,,
United Kingdom of Great Britain and Northern Ireland,Newcastle Upon Tyne,,,,,,
Japan,Nobeoka,,,,,,
Russian Federation,Nogir,,,,,,
United States of America,North Amityville,,,,,,
United States of America,North Canton,,,,,,
United States of America,Northbrook,,,,,,
Italy,Novate Milanese,,,,,,
Cuba,Nueva Gerona,,,,,,
Uzbekistan,Nukus,,,,,,
Japan,Numazu,,,,,,
Netherlands,Nunspeet,,,,,,
Finland,Nurmijarvi,,,,,,
Argentina,Obera,,,,,,
Brazil,Oeiras,,,,,,
Japan,Oiso,,,,,,
Hungary,Esztergom,,,,,,
Germany,Euskirchen,,,,,,
Republic of Moldova,Falesti,,,,,,
Canada,Fergus,,,,,,
United States of America,Foster City,,,,,,
Germany,Freudenberg,,,,,,
Uzbekistan,Gazalkent,,,,,,
Germany,Geldern,,,,,,
China,Genhe,,,,,,
Unknown,Ghogha,,,,,,
China,Dandong,,,,,,
Togo,Dapaong,,,,,,
Germany,Datteln,,,,,,
United States of America,Decatur,,,,,,
Belgium,Deerlijk,,,,,,
Ethiopia,Dejen,,,,,,
Iran (Islamic Republic of),Delijan,,,,,,
Turkey,Demirci,,,,,,
United States of America,Dentsville,,,,,,
India,Deoranian,,,,,,
Turkey,Devrek,,,,,,
Belgium,Dison,,,,,,
Romania,Dolhasca,,,,,,
France,Draguignan,,,,,,
United States of America,East Ridge,,,,,,
Germany,Ebersberg,,,,,,
Spain,Ejea De Los Caballeros,,,,,,
Egypt,El Balyana,,,,,,
United States of America,Elk Grove,,,,,,
India,Madhipura,,,,,,
Kenya,Magadi,,,,,,
Portugal,Maia,,,,,,
India,Majitha,,,,,,
India,Malpura,,,,,,
Madagascar,Mananara,,,,,,
Myanmar,Mandalay,,,,,,
Bangladesh,Manikganj,,,,,,
Romania,Baia Sprie,,,,,,
Indonesia,Barabai,,,,,,
Venezuela (Bolivarian Republic of),Barquisimeto,,,,,,
United States of America,Bellefontaine,,,,,,
India,Beri,,,,,,
Belgium,Berlare,,,,,,
Uzbekistan,Beruni,,,,,,
India,Bhinga,,,,,,
India,Bhuvanagiri,,,,,,
United States of America,Big Rapids,,,,,,
Japan,Bihoro,,,,,,
Botswana,Bobonong,,,,,,
United States of America,Bogalusa,,,,,,
Italy,Bolzano,,,,,,
C̫te d'Ivoire,Bonoua,,,,,,
Georgia,Borjomi,,,,,,
United States of America,Bossier City,,,,,,
Unknown,Bremerton,,,,,,
United States of America,Brook Park,,,,,,
Canada,Brooks,,,,,,
United States of America,Brunswick,,,,,,
Switzerland,Buchs,,,,,,
Iran (Islamic Republic of),Bukan,,,,,,
Democratic Republic of the Congo,Bumba,,,,,,
Italy,Bussolengo,,,,,,
Germany,Buxtehude,,,,,,
Poland,Bystrzyca Klodzka,,,,,,
France,Caen,,,,,,
Italy,Cairo Montenotte,,,,,,
France,Cannes,,,,,,
Mexico,Capilla De Guadalupe,,,,,,
United Kingdom of Great Britain and Northern Ireland,Carlisle,,,,,,
Unknown,Carpinteria,,,,,,
Italy,Carugate,,,,,,
Italy,Caselle Torinese,,,,,,
Italy,Castrovillari,,,,,,
Brazil,Catu,,,,,,
Angola,Catumbela,,,,,,
Italy,Cetraro,,,,,,
India,Channapatna,,,,,,
India,Chinnammanur,,,,,,
Russian Federation,Chuguyevka,,,,,,
China,Chuncheng,,,,,,
China,Chuzhou,,,,,,
Denmark,Aalborg,,,,,,
Unknown,Abaetetuba,,,,,,
United States of America,Acushnet,,,,,,
Greece,Agrinion,,,,,,
Mexico,Agua Dulce,,,,,,
Mexico,Aguascalientes,,,,,,
India,Ahmadnagar,,,,,,
Hungary,Albertirsa,,,,,,
Portugal,Alcabideche,,,,,,
Russian Federation,Aldan,,,,,,
Russian Federation,Aleksandrovskoye,,,,,,
Colombia,Algarrobo,,,,,,
Russian Federation,Alleroy,,,,,,
United States of America,Altamonte Springs,,,,,,
India,Ambasamudram,,,,,,
India,Amloh,,,,,,
Netherlands,Amsterdam,,,,,,
Colombia,Andes,,,,,,
Spain,Arahal,,,,,,
Japan,Asahi,,,,,,
Turkmenistan,Asgabat,,,,,,
France,Aurillac,,,,,,
Colombia,Ayapel,,,,,,
Ecuador,Azogues,,,,,,
India,Babra,,,,,,
United Kingdom of Great Britain and Northern Ireland,Coalville,,,,,,
United States of America,Coamo,,,,,,
Brazil,Conceicao Do Araguaia,,,,,,
Italy,Copparo,,,,,,
Philippines,Cotabato,,,,,,
Japan,Daigo,,,,,,
India,Rupnagar,,,,,,
Italy,Ruvo Di Puglia,,,,,,
Russian Federation,Rylsk,,,,,,
Japan,Saga,,,,,,
France,Saint Ouen,,,,,,
Japan,Sakai,,,,,,
Sweden,Sala,,,,,,
South Africa,Randfontein,,,,,,
Poland,Reda,,,,,,
Germany,Rehburg Loccum,,,,,,
Brazil,Ribeirao Das Neves,,,,,,
Brazil,Ribeirao,,,,,,
Brazil,Ribeiropolis,,,,,,
Brazil,Rio De Janeiro,,,,,,
Argentina,Rio Gallegos,,,,,,
Brazil,Rio Pardo,,,,,,
United States of America,Riviera Beach,,,,,,
United States of America,Rolla,,,,,,
India,Ron,,,,,,
Bangladesh,Pirganj,,,,,,
United States of America,Placentia,,,,,,
Russian Federation,Pogar,,,,,,
Russian Federation,Pogranichnyy,,,,,,
Sri Lanka,Polonnaruwa,,,,,,
Russian Federation,Polysayevo,,,,,,
Italy,Pontedera,,,,,,
United States of America,Port Saint Lucie,,,,,,
United States of America,Pottsville,,,,,,
Switzerland,Pratteln,,,,,,
Cuba,Primero De Enero,,,,,,
India,Purushottampur,,,,,,
Poland,Radzyn Podlaski,,,,,,
India,Rajmahal,,,,,,
India,Rajpur,,,,,,
Russian Federation,Omutninsk,,,,,,
Poland,Orzesze,,,,,,
Poland,Ostroda,,,,,,
Indonesia,Palabuhanratu,,,,,,
India,Palera,,,,,,
India,Palmaner,,,,,,
Colombia,Palmar De Varela,,,,,,
Unknown,Palompon,,,,,,
Brazil,Panambi,,,,,,
Pakistan,Pano Aqil,,,,,,
Serbia,Paracin,,,,,,
Unknown,Paranagua,,,,,,
India,Penugonda,,,,,,
Austria,Perchtoldsdorf,,,,,,
Mexico,Peto,,,,,,
Germany,Ottersberg,,,,,,
India,Bahraich,,,,,,
Philippines,Baloc,,,,,,
Germany,Balve,,,,,,
Central African Republic,Bambari,,,,,,
Brazil,Bambui,,,,,,
China,Bantou,,,,,,
China,Baoying,,,,,,
Brazil,Beberibe,,,,,,
India,Bhawanigarh,,,,,,
Pakistan,Bhera,,,,,,
India,Bhum,,,,,,
India,Bidhuna,,,,,,
India,Bijawar,,,,,,
Czechia,Bilina,,,,,,
Zimbabwe,Bindura,,,,,,
Democratic Republic of the Congo,Binga,,,,,,
Ukraine,Bohuslav,,,,,,
India,Bokaro,,,,,,
United States of America,Bonita,,,,,,
Russian Federation,Borovichi,,,,,,
Netherlands,Boskoop,,,,,,
France,Blois,,,,,,
Germany,Boblingen,,,,,,
Italy,Abano Terme,,,,,,
Mexico,Abasolo,,,,,,
C̫te d'Ivoire,Adiake,,,,,,
Turkey,Adilcevaz,,,,,,
Ethiopia,Agaro,,,,,,
Turkey,Ahlat,,,,,,
India,Akividu,,,,,,
Brazil,Alem Paraiba,,,,,,
Canada,Amos,,,,,,
Venezuela (Bolivarian Republic of),Anaco,,,,,,
Chile,Angol,,,,,,
Germany,Annaberg Buchholz,,,,,,
Japan,Annaka,,,,,,
Italy,Arco,,,,,,
Brazil,Arinos,,,,,,
United States of America,Arnold,,,,,,
Unknown,Arraial Do Cabo,,,,,,
Ethiopia,Assela,,,,,,
Belgium,Assenede,,,,,,
France,Auch,,,,,,
Germany,Bad Munder,,,,,,
United States of America,Bryant,,,,,,
United Kingdom of Great Britain and Northern Ireland,Buckhaven,,,,,,
United States of America,Buffalo Grove,,,,,,
Switzerland,Bulach,,,,,,
Spain,Burgos,,,,,,
Ethiopia,Butajira,,,,,,
United States of America,Cadillac,,,,,,
Romania,Calafat,,,,,,
Spain,Calahorra,,,,,,
Philippines,Calintaan,,,,,,
Republic of Moldova,Camenca,,,,,,
Brazil,Campina Grande Do Sul,,,,,,
Italy,Cassino,,,,,,
Italy,Castelvetrano,,,,,,
Angola,Catabola,,,,,,
United States of America,Cedar Park,,,,,,
Indonesia,Cepu,,,,,,
China,Chaihe,,,,,,
United States of America,Channahon,,,,,,
Colombia,Chaparral,,,,,,
Ukraine,Chaplynka,,,,,,
Mexico,Charcas,,,,,,
United States of America,Chesterfield,,,,,,
India,Chetpet,,,,,,
Peru,Chimbote,,,,,,
Indonesia,Cibitung,,,,,,
Indonesia,Cikupa,,,,,,
Brazil,Capao Da Canoa,,,,,,
Brazil,Capelinha,,,,,,
Spain,Carlet,,,,,,
United States of America,Carson City,,,,,,
China,Changzhou,,,,,,
Pakistan,Chawinda,,,,,,
Spain,Chiclana,,,,,,
Mexico,Chilapa,,,,,,
Zimbabwe,Chinhoyi,,,,,,
Colombia,Chinu,,,,,,
China,Chishan,,,,,,
Pakistan,Chishtian Mandi,,,,,,
Netherlands,Alphen,,,,,,
Indonesia,Amuntai,,,,,,
Spain,Andujar,,,,,,
United States of America,Anoka,,,,,,
Brazil,Aquiraz,,,,,,
United States of America,Arcadia,,,,,,
United States of America,West Hartford,,,,,,
United States of America,West Springfield,,,,,,
United Kingdom of Great Britain and Northern Ireland,Worksop,,,,,,
Germany,Wurselen,,,,,,
Lao People's Democratic Republic,Xam Nua,,,,,,
China,Xining,,,,,,
United States of America,Yakima,,,,,,
Mexico,Yaqui,,,,,,
Philippines,Bais,,,,,,
Ireland,Balbriggan,,,,,,
Thailand,Bang Sao Thong,,,,,,
China,Baoshan,,,,,,
Hungary,Barcs,,,,,,
India,Barhi,,,,,,
India,Barhiya,,,,,,
United Kingdom of Great Britain and Northern Ireland,Barnsley,,,,,,
Canada,Barrie,,,,,,
Pakistan,Basirpur,,,,,,
Canada,Whitchurch Stouffville,,,,,,
Canada,Winnipeg,,,,,,
Poland,Wloclawek,,,,,,
Switzerland,Worb,,,,,,
Germany,Augustdorf,,,,,,
Italy,Avellino,,,,,,
Sweden,Avesta,,,,,,
Mexico,Axochiapan,,,,,,
France,Bagneux,,,,,,
Italy,Brugherio,,,,,,
Nigeria,Bugama,,,,,,
Democratic Republic of the Congo,Bulungu,,,,,,
Ethiopia,Bure,,,,,,
Slovakia,Bytca,,,,,,
Brazil,Cachoeiras De Macacu,,,,,,
Spain,Calella,,,,,,
Mexico,Calvillo,,,,,,
Brazil,Campo Alegre,,,,,,
Italy,Campobello Di Licata,,,,,,
Romania,Cluj Napoca,,,,,,
Unknown,Coatzacoalcos,,,,,,
Spain,Cocentaina,,,,,,
United States of America,Cocoa Beach,,,,,,
Australia,Coffs Harbour,,,,,,
Bolivia (Plurinational State of),Cotoca,,,,,,
Portugal,Covilha,,,,,,
France,Concarneau,,,,,,
United States of America,Crossville,,,,,,
El Salvador,Cuscatancingo,,,,,,
Portugal,Custoias,,,,,,
Senegal,Dahra,,,,,,
India,Dakor,,,,,,
United States of America,Prairie Village,,,,,,
Colombia,Puerto Rico,,,,,,
India,Puliyankudi,,,,,,
Russian Federation,Pyshma,,,,,,
Germany,Radolfzell,,,,,,
Indonesia,Rajapolah,,,,,,
India,Rajgurunagar,,,,,,
Germany,Poing,,,,,,
Unknown,Pontal Do Parana,,,,,,
Cambodia,Kampong Thum,,,,,,
Japan,Kanuma,,,,,,
India,Karari,,,,,,
Uzbekistan,Karauzyak,,,,,,
India,Katghora,,,,,,
Republic of North Macedonia,Kavadarci,,,,,,
Myanmar,Kayan,,,,,,
Mali,Kayes,,,,,,
Senegal,Kebemer,,,,,,
Kazakhstan,Kentau,,,,,,
Poland,Gniezno,,,,,,
India,Gormi,,,,,,
United States of America,Green Bay,,,,,,
Poland,Grodzisk Mazowiecki,,,,,,
Colombia,Guaduas,,,,,,
Unknown,Guaratuba,,,,,,
Egypt,Fowa,,,,,,
Germany,Friedberg,,,,,,
France,Frontignan,,,,,,
India,Garhshankar,,,,,,
United States of America,Garner,,,,,,
Unknown,Gazimagusa,,,,,,
Iran (Islamic Republic of),Javanrud,,,,,,
India,Jawhar,,,,,,
India,Jaysingpur,,,,,,
Belgium,Jodoigne,,,,,,
Finland,Joensuu,,,,,,
India,Joshimath,,,,,,
India,Joura,,,,,,
Democratic Republic of the Congo,Kabare,,,,,,
Ghana,Kade,,,,,,
Germany,Hilchenbach,,,,,,
Japan,Hitachi,,,,,,
United Kingdom of Great Britain and Northern Ireland,Hoddesdon,,,,,,
Czechia,Hodonin,,,,,,
United States of America,Howard,,,,,,
Germany,Hunfeld,,,,,,
Germany,Idstein,,,,,,
Nigeria,Ikire,,,,,,
United Republic of Tanzania,Ilembula,,,,,,
South Africa,Danielskuil,,,,,,
Uzbekistan,Denau,,,,,,
Australia,Devonport,,,,,,
India,Dhuri,,,,,,
Viet Nam,Dien Bien,,,,,,
Pakistan,Dinga,,,,,,
Guatemala,Dolores,,,,,,
Mexico,Gustavo Diaz Ordaz,,,,,,
India,Guwahati,,,,,,
China,Haizhou,,,,,,
India,Hasanpur,,,,,,
Turkey,Hayrabolu,,,,,,
Uzbekistan,Hazorasp,,,,,,
France,Hem,,,,,,
China,Hengshui,,,,,,
France,Herouville Saint Clair,,,,,,
Poland,Minsk Mazowiecki,,,,,,
Japan,Miyako,,,,,,
Brazil,Mocajuba,,,,,,
Germany,Moglingen,,,,,,
Afghanistan,Kusk,,,,,,
Mexico,La Cruz,,,,,,
El Salvador,La Libertad,,,,,,
Nigeria,Ipoti,,,,,,
Brazil,Itabaianinha,,,,,,
Brazil,Itacarambi,,,,,,
Brazil,Itapuranga,,,,,,
Italy,Enna,,,,,,
Sweden,Eskilstuna,,,,,,
France,Faaa,,,,,,
Sweden,Fagersta,,,,,,
United States of America,Faribault,,,,,,
Romania,Flamanzi,,,,,,
France,Fontenay Aux Roses,,,,,,
United States of America,Foothill Farms,,,,,,
United Kingdom of Great Britain and Northern Ireland,Formby,,,,,,
Brazil,Formosa Do Rio Preto,,,,,,
United States of America,Fort Carson,,,,,,
India,Machilipatnam,,,,,,
France,Dreux,,,,,,
Germany,Drolshagen,,,,,,
Mexico,Dzitbalche,,,,,,
Mexico,Eagle Pass,,,,,,
United States of America,Easley,,,,,,
United States of America,East Massapequa,,,,,,
Nigeria,Effium,,,,,,
Russian Federation,Elektrougli,,,,,,
United States of America,Elizabeth City,,,,,,
United States of America,Elizabeth,,,,,,
Greece,Ellinikon,,,,,,
United States of America,Olympia Heights,,,,,,
Japan,Omigawa,,,,,,
United States of America,Opelousas,,,,,,
Turkey,Ordu,,,,,,
Republic of North Macedonia,Oslomej,,,,,,
Russian Federation,Ostashkov,,,,,,
Ukraine,Ostroh,,,,,,
Japan,Otawara,,,,,,
Italy,Ottaviano,,,,,,
United States of America,Ottawa,,,,,,
United States of America,Owensboro,,,,,,
Thailand,Pa Daet,,,,,,
Hungary,Paks,,,,,,
Chile,Panguipulli,,,,,,
Thailand,Pathum Thani,,,,,,
India,Patiala,,,,,,
India,Pavagada,,,,,,
India,Phalauda,,,,,,
Unknown,Lipari,,,,,,
United Republic of Tanzania,Liuli,,,,,,
Spain,Lloret De Mar,,,,,,
Belgium,Lochristi,,,,,,
Germany,Lohfelden,,,,,,
United States of America,Long Branch,,,,,,
Brazil,Louveira,,,,,,
Germany,Ludwigsfelde,,,,,,
Philippines,Lupao,,,,,,
United Republic of Tanzania,Mabamba,,,,,,
Niger,Madaoua,,,,,,
India,Maddur,,,,,,
Germany,Mainz,,,,,,
Nigeria,Makurdi,,,,,,
India,Mallur,,,,,,
India,Manali,,,,,,
India,Manavalakurichi,,,,,,
Pakistan,Mandi Bahauddin,,,,,,
India,Mannarakkat,,,,,,
United States of America,Mansfield,,,,,,
Armenia,Martuni,,,,,,
Japan,Maruko,,,,,,
Italy,Mascali,,,,,,
Spain,Mataro,,,,,,
Venezuela (Bolivarian Republic of),Maturin,,,,,,
Senegal,Mbacke,,,,,,
Germany,Meerane,,,,,,
Indonesia,Mentok,,,,,,
United States of America,Merrillville,,,,,,
Romania,Oltenita,,,,,,
United States of America,Oneida,,,,,,
Ukraine,Orikhiv,,,,,,
Turkey,Ortakoy,,,,,,
Germany,Osterhofen,,,,,,
United States of America,Overland,,,,,,
Portugal,Palmela,,,,,,
Russian Federation,Pangody,,,,,,
Guatemala,Panzos,,,,,,
Brazil,Paracatu,,,,,,
Indonesia,Parakan,,,,,,
Malaysia,Parit Raja,,,,,,
Malaysia,Pasir Mas,,,,,,
Brazil,Pedro Juan Caballero,,,,,,
Germany,Perleberg,,,,,,
United States of America,North Providence,,,,,,
United Kingdom of Great Britain and Northern Ireland,Northallerton,,,,,,
Germany,Nottuln,,,,,,
Republic of North Macedonia,Novo Selo,,,,,,
Guatemala,Nueva Concepcion,,,,,,
Russian Federation,Nyazepetrovsk,,,,,,
United States of America,Oak Harbor,,,,,,
Namibia,Okahandja,,,,,,
United States of America,Moorpark,,,,,,
Portugal,Moscavide,,,,,,
United States of America,Mountain Brook,,,,,,
India,Muzhappilangad,,,,,,
Hungary,Nagykanizsa,,,,,,
India,Nalagarh,,,,,,
India,Namakkal,,,,,,
