Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Peru,Lambayeque,,,,,,
Germany,Lebach,,,,,,
Poland,Ledziny,,,,,,
France,Les Mureaux,,,,,,
United States of America,Lexington Park,,,,,,
Poland,Lezajsk,,,,,,
China,Lianyuan,,,,,,
Switzerland,Liestal,,,,,,
Chile,Limache,,,,,,
Paraguay,Limpio,,,,,,
Germany,Lingen,,,,,,
Russian Federation,Livny,,,,,,
Indonesia,Loa Janan,,,,,,
Italy,Locorotondo,,,,,,
Mexico,Loma Bonita,,,,,,
India,Loni,,,,,,
Philippines,Los Banos,,,,,,
South Africa,Lydenburg,,,,,,
United States of America,Lynn Haven,,,,,,
Italy,Maglie,,,,,,
Dominican Republic,Maimon,,,,,,
Venezuela (Bolivarian Republic of),Maiquetia,,,,,,
Sierra Leone,Makeni,,,,,,
India,Makrana,,,,,,
Japan,Makubetsu,,,,,,
Belgium,Malmedy,,,,,,
India,Malur,,,,,,
India,Manavadar,,,,,,
India,Mandalgarh,,,,,,
Iraq,Mandali,,,,,,
Togo,Mango,,,,,,
India,Manoharpur,,,,,,
Indonesia,Manokwari,,,,,,
Brazil,Maraba,,,,,,
Venezuela (Bolivarian Republic of),Maracay,,,,,,
Spain,Marbella,,,,,,
India,Narasannapeta,,,,,,
India,Narasapur,,,,,,
United Kingdom of Great Britain and Northern Ireland,Neath,,,,,,
Germany,Neuruppin,,,,,,
Belgium,Nevele,,,,,,
France,Nice,,,,,,
Nigeria,Nnewi,,,,,,
Germany,Norderstedt,,,,,,
Sweden,Norrkoping,,,,,,
Bulgaria,Nova Zagora,,,,,,
Brazil,Novo Hamburgo,,,,,,
Poland,Nowa Deba,,,,,,
Guatemala,Nuevo San Carlos,,,,,,
United Republic of Tanzania,Nyalikungu,,,,,,
Switzerland,Nyon,,,,,,
Japan,Obu,,,,,,
Russian Federation,Ocher,,,,,,
Mexico,Ocoyoacac,,,,,,
Germany,Odenthal,,,,,,
Bosnia and Herzegovina,Odzak,,,,,,
Japan,Oi,,,,,,
United States of America,Olean,,,,,,
United States of America,Jeannette,,,,,,
China,Jinan,,,,,,
Nicaragua,Jinotega,,,,,,
Czechia,Jirkov,,,,,,
Brazil,Joao Alfredo,,,,,,
Cuba,Jobabo,,,,,,
India,Jodiya,,,,,,
Nepal,Jogbani,,,,,,
Finland,Joutseno,,,,,,
United States of America,Junction City,,,,,,
Brazil,Juquia,,,,,,
Mexico,Juventino Rosas,,,,,,
India,Kadayanallur,,,,,,
India,Kalanwali,,,,,,
France,Ollioules,,,,,,
Germany,Oranienburg,,,,,,
United States of America,Oroville,,,,,,
France,Orvault,,,,,,
India,Ottappalam,,,,,,
France,Oullins,,,,,,
United States of America,Ozark,,,,,,
India,Padampur,,,,,,
India,Palakkad,,,,,,
United States of America,Palmetto,,,,,,
Colombia,Pradera,,,,,,
Bosnia and Herzegovina,Prijedor,,,,,,
Unknown,Procida,,,,,,
United States of America,Provo,,,,,,
Ukraine,Pryluky,,,,,,
Russian Federation,Pskov,,,,,,
China,Qiqihar,,,,,,
Morocco,Rabat,,,,,,
Republic of Moldova,Rabnita,,,,,,
Italy,Racconigi,,,,,,
India,Rajamahendri,,,,,,
Iran (Islamic Republic of),Ramhormoz,,,,,,
France,Ramonville Saint Agne,,,,,,
India,Raniganj,,,,,,
Sri Lanka,Ratnapura,,,,,,
Bulgaria,Razgrad,,,,,,
Russian Federation,Razumnoye,,,,,,
Brazil,Recife,,,,,,
United Kingdom of Great Britain and Northern Ireland,Redditch,,,,,,
India,Redhakhol,,,,,,
Brazil,Ribeirao Preto,,,,,,
Slovakia,Rimavska Sobota,,,,,,
Italy,Rivoli,,,,,,
France,Rixheim,,,,,,
Italy,Roncade,,,,,,
Germany,Rosendahl,,,,,,
Denmark,Roskilde,,,,,,
Netherlands,Rotterdam,,,,,,
South Africa,Rustenburg,,,,,,
Russian Federation,Ryazhsk,,,,,,
Colombia,Sabaneta,,,,,,
United States of America,Saco,,,,,,
Tunisia,Safaqis,,,,,,
India,Saharsa,,,,,,
United States of America,Saint Paul,,,,,,
France,Saint Chamond,,,,,,
France,Saint Fons,,,,,,
Japan,Sakado,,,,,,
Japan,Sakura,,,,,,
Romania,Salonta,,,,,,
Pakistan,Sambrial,,,,,,
United States of America,San Bruno,,,,,,
Italy,San Giustino,,,,,,
Spain,San Javier,,,,,,
Guatemala,San Jose Pinula,,,,,,
China,Sanming,,,,,,
Spain,Sant Feliu De Guixols,,,,,,
Philippines,Santa Catalina,,,,,,
United States of America,Santa Clarita,,,,,,
Mexico,Santa Cruz Del Valle,,,,,,
Spain,Santa Eulalia Del Rio,,,,,,
United States of America,Santa Paula,,,,,,
Brazil,Sao Borja,,,,,,
Brazil,Sao Sebastiao Do Passe,,,,,,
India,Saraipali,,,,,,
Bosnia and Herzegovina,Sarajevo,,,,,,
Brazil,Para De Minas,,,,,,
United States of America,Paramount,,,,,,
United States of America,Parkland,,,,,,
Italy,Parma,,,,,,
Indonesia,Paseh,,,,,,
Russian Federation,Pashkovskiy,,,,,,
Unknown,Pattaya,,,,,,
Italy,Perugia,,,,,,
Bulgaria,Pestera,,,,,,
United States of America,Pike Creek,,,,,,
Spain,Pilar De La Horadada,,,,,,
Hungary,Pilis,,,,,,
Brazil,Pindorama,,,,,,
United States of America,Piney Green,,,,,,
Italy,Pistoia,,,,,,
Bolivia (Plurinational State of),Placido De Castro,,,,,,
United States of America,Pleasant Grove,,,,,,
United States of America,Plymouth,,,,,,
Brazil,Pocao De Pedras,,,,,,
Trinidad and Tobago,Point Fortin,,,,,,
India,Polasara,,,,,,
Poland,Police,,,,,,
India,Ponda,,,,,,
India,Pondicherry,,,,,,
Brazil,Pontalina,,,,,,
Brazil,Porciuncula,,,,,,
Portugal,Portalegre,,,,,,
Brazil,Portao,,,,,,
Italy,Potenza Picena,,,,,,
Portugal,Povoa De Santa Iria,,,,,,
Germany,Solms,,,,,,
United States of America,South Holland,,,,,,
United Kingdom of Great Britain and Northern Ireland,Southampton,,,,,,
Russian Federation,Spassk Dalniy,,,,,,
Belarus,Stolin,,,,,,
United States of America,Stoneham,,,,,,
Italy,Stradella,,,,,,
Canada,Strathmore,,,,,,
Poland,Strzelin,,,,,,
Peru,Satipo,,,,,,
France,Saumur,,,,,,
Italy,Saviano,,,,,,
Belgium,Schilde,,,,,,
Germany,Schlitz,,,,,,
Germany,Schrobenhausen,,,,,,
United States of America,Seekonk,,,,,,
Brazil,Sertania,,,,,,
Japan,Setaka,,,,,,
Italy,Sezze,,,,,,
Tajikistan,Shaartuz,,,,,,
Canada,Shawinigan,,,,,,
Russian Federation,Shebekino,,,,,,
Japan,Shido,,,,,,
Japan,Shimodate,,,,,,
India,Sholapur,,,,,,
United States of America,Shoreline,,,,,,
Central African Republic,Sibut,,,,,,
India,Silchar,,,,,,
India,Sindgi,,,,,,
Indonesia,Singkang,,,,,,
Indonesia,Singkawang,,,,,,
Sweden,Skelleftea,,,,,,
Croatia,Solin,,,,,,
Germany,Sonthofen,,,,,,
United States of America,South Bend,,,,,,
India,Srinivaspur,,,,,,
Sweden,Staffanstorp,,,,,,
Russian Federation,Staronizhestebliyevskaya,,,,,,
Germany,Steinfurt,,,,,,
Norway,Steinkjer,,,,,,
Russian Federation,Stepnoye,,,,,,
Germany,Straelen,,,,,,
Sweden,Strangnas,,,,,,
Republic of Moldova,Straseni,,,,,,
United States of America,Sun Valley,,,,,,
United States of America,National City,,,,,,
Spain,Navalcarnero,,,,,,
Romania,Navodari,,,,,,
Indonesia,Negara,,,,,,
Italy,Nembro,,,,,,
Germany,Neuenburg,,,,,,
Germany,Neuhof,,,,,,
Iran (Islamic Republic of),Neyshabur,,,,,,
Germany,Nideggen,,,,,,
China,Ningan,,,,,,
Democratic Republic of the Congo,Nioki,,,,,,
Japan,Nishihara,,,,,,
Japan,Noboribetsu,,,,,,
India,Nokha,,,,,,
Germany,Nordenham,,,,,,
United States of America,Norridge,,,,,,
United States of America,North Augusta,,,,,,
United States of America,North Laurel,,,,,,
United States of America,North Ogden,,,,,,
United States of America,North Potomac,,,,,,
United States of America,North Reading,,,,,,
Serbia,Nova Varos,,,,,,
Ukraine,Novomyrhorod,,,,,,
Russian Federation,Novoulyanovsk,,,,,,
Nigeria,Nsukka,,,,,,
United Republic of Tanzania,Nsunga,,,,,,
United States of America,Oak Grove,,,,,,
United States of America,Oceanside,,,,,,
Germany,Ochsenfurt,,,,,,
Japan,Omachi,,,,,,
Nigeria,Ondo,,,,,,
Belize,Orange Walk,,,,,,
Romania,Oravita,,,,,,
Brazil,Osorio,,,,,,
Brazil,Padre Bernardo,,,,,,
Philippines,Paombong,,,,,,
India,Papanasam,,,,,,
Chile,Parral,,,,,,
India,Pasan,,,,,,
India,Pathanamthitta,,,,,,
India,Pendra,,,,,,
Brazil,Pentecoste,,,,,,
Guatemala,Petapa,,,,,,
Venezuela (Bolivarian Republic of),Petare,,,,,,
Russian Federation,Otradnaya,,,,,,
Belgium,Oud Turnhout,,,,,,
United States of America,Oxnard,,,,,,
Philippines,Ozamiz,,,,,,
Philippines,Pagsangahan,,,,,,
Spain,Palafrugell,,,,,,
United States of America,Palm Valley,,,,,,
Italy,Palmi,,,,,,
Indonesia,Panarukan,,,,,,
India,Madhoganj,,,,,,
United Republic of Tanzania,Mahuta,,,,,,
India,Majholi,,,,,,
Gabon,Makokou,,,,,,
Philippines,Malanday,,,,,,
Unknown,Mandurah,,,,,,
Brazil,Manga,,,,,,
United States of America,Maple Valley,,,,,,
Yemen,Bajil,,,,,,
India,Balod,,,,,,
Mauritius,Bambous,,,,,,
Thailand,Bang Ban,,,,,,
India,Banposh,,,,,,
India,Bansda,,,,,,
Brazil,Barreirinhas,,,,,,
France,Basse Terre,,,,,,
Germany,Bayreuth,,,,,,
Ethiopia,Bedesa,,,,,,
India,Begusarai,,,,,,
United States of America,Belton,,,,,,
United States of America,Belvidere,,,,,,
Malaysia,Bemban,,,,,,
India,Beohari,,,,,,
Italy,Bergamo,,,,,,
United States of America,Berkeley,,,,,,
Italy,Bibbiena,,,,,,
Brazil,Biritiba Mirim,,,,,,
Lithuania,Birzai,,,,,,
Germany,Bischofsheim,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bishop Auckland,,,,,,
Poland,Biskupiec,,,,,,
Germany,Blomberg,,,,,,
Germany,Boizenburg,,,,,,
Italy,Borgo San Dalmazzo,,,,,,
Ukraine,Borzna,,,,,,
Central African Republic,Bossembele,,,,,,
Germany,Bottrop,,,,,,
United States of America,Bountiful,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bournemouth,,,,,,
Czechia,Brandys Nad Labem Stara Boleslav,,,,,,
Brazil,Brasilia,,,,,,
Malaysia,Bukit Baru,,,,,,
United States of America,Burbank,,,,,,
Albania,Burrel,,,,,,
Unknown,Cabedelo,,,,,,
Brazil,Cachoeira,,,,,,
Romania,Calan,,,,,,
France,Cambrai,,,,,,
France,Canteleu,,,,,,
Mexico,Capulhuac,,,,,,
United States of America,Carmichael,,,,,,
Spain,Cartaya,,,,,,
Brazil,Cassilandia,,,,,,
United States of America,Catalina Foothills,,,,,,
Philippines,Cebu,,,,,,
Thailand,Chachoengsao,,,,,,
Thailand,Chaiyo,,,,,,
France,Chalons En Champagne,,,,,,
Kazakhstan,Chardara,,,,,,
Germany,Chemnitz,,,,,,
France,Chenove,,,,,,
Russian Federation,Cheremkhovo,,,,,,
Italy,Chiampo,,,,,,
Zambia,Chingola,,,,,,
Colombia,Chiriguana,,,,,,
Mexico,Cholula,,,,,,
Pakistan,Zafarwal,,,,,,
Ukraine,Zaporizhzhya,,,,,,
Russian Federation,Zavodskoy,,,,,,
Poland,Zawiercie,,,,,,
Ukraine,Zdolbuniv,,,,,,
United States of America,Zephyrhills,,,,,,
Germany,Zetel,,,,,,
China,Zhaotong,,,,,,
Pakistan,Zhob,,,,,,
China,Zhongxing,,,,,,
China,Zhuhai,,,,,,
Russian Federation,Zhukovka,,,,,,
Thailand,Yaring,,,,,,
Russian Federation,Yayva,,,,,,
China,Yiyang,,,,,,
China,Yizheng,,,,,,
Colombia,Yopal,,,,,,
Tajikistan,Yovon,,,,,,
China,Yuancheng,,,,,,
Mexico,Yuriria,,,,,,
Malawi,Zomba,,,,,,
Russian Federation,Zverevo,,,,,,
Germany,Zwonitz,,,,,,
El Salvador,Delgado,,,,,,
United States of America,Denison,,,,,,
India,Deoband,,,,,,
India,Deogarh,,,,,,
India,Depalpur,,,,,,
Iran (Islamic Republic of),Dezful,,,,,,
Russian Federation,Dobrinka,,,,,,
Russian Federation,Dolinsk,,,,,,
Kazakhstan,Abay,,,,,,
Benin,Abomey Calavi,,,,,,
Sudan,Abu Jubayhah,,,,,,
Brazil,Acucena,,,,,,
Brazil,Agudos,,,,,,
Greece,Aigaleo,,,,,,
India,Aklera,,,,,,
Egypt,Alexandria,,,,,,
Portugal,Alfena,,,,,,
Brazil,Alfenas,,,,,,
Belgium,Amay,,,,,,
India,Ambattur,,,,,,
India,Amudalavalasa,,,,,,
Ukraine,Amvrosiyivka,,,,,,
Brazil,Anicuns,,,,,,
Germany,Anklam,,,,,,
China,Aojiang,,,,,,
Brazil,Aparecida,,,,,,
Mexico,Apodaca,,,,,,
Kazakhstan,Aqtobe,,,,,,
India,Arantangi,,,,,,
Spain,Arenys De Mar,,,,,,
Denmark,Arhus,,,,,,
United States of America,Artesia,,,,,,
Uruguay,Artigas,,,,,,
India,Aruppukkottai,,,,,,
Russian Federation,Assinovskaya,,,,,,
Kazakhstan,Atbasar,,,,,,
United States of America,Auburn Hills,,,,,,
El Salvador,Ayutuxtepeque,,,,,,
Indonesia,Babakan,,,,,,
Germany,Bad Salzdetfurth,,,,,,
Germany,Bad Salzuflen,,,,,,
Germany,Bad Worishofen,,,,,,
India,Badnawar,,,,,,
Mexico,Balancan,,,,,,
India,Bangarmau,,,,,,
India,Bantva,,,,,,
China,Baoqing,,,,,,
Brazil,Barra Velha,,,,,,
United States of America,Beaver Dam,,,,,,
India,Bedi,,,,,,
United States of America,Belchertown,,,,,,
United Kingdom of Great Britain and Northern Ireland,Belfast,,,,,,
United States of America,Belle Glade,,,,,,
Russian Federation,Belovo,,,,,,
United States of America,Bentonville,,,,,,
Malaysia,Beranang,,,,,,
Thailand,Betong,,,,,,
Germany,Bexbach,,,,,,
India,Bhopal,,,,,,
France,Billere,,,,,,
Central African Republic,Birao,,,,,,
United Kingdom of Great Britain and Northern Ireland,Blyth,,,,,,
C̫te d'Ivoire,Bocanda,,,,,,
Central African Republic,Boda,,,,,,
Belgium,Bonheiden,,,,,,
C̫te d'Ivoire,Bouafle,,,,,,
United States of America,Bradley,,,,,,
Cameroon,Buea,,,,,,
India,Buguda,,,,,,
Germany,Buhl,,,,,,
Pakistan,Burewala,,,,,,
United Kingdom of Great Britain and Northern Ireland,Burgess Hill,,,,,,
Iran (Islamic Republic of),Bushehr,,,,,,
Italy,Busto Arsizio,,,,,,
Italy,Caltagirone,,,,,,
Italy,Calvizzano,,,,,,
Italy,Canosa Di Puglia,,,,,,
United States of America,Canton,,,,,,
Italy,Carini,,,,,,
United Kingdom of Great Britain and Northern Ireland,Carluke,,,,,,
Italy,Cerignola,,,,,,
India,Chanasma,,,,,,
Italy,Villa San Giovanni,,,,,,
Colombia,Villanueva,,,,,,
Spain,Villena,,,,,,
Nepal,Waling,,,,,,
United Kingdom of Great Britain and Northern Ireland,Walkden,,,,,,
Belgium,Wemmel,,,,,,
United Kingdom of Great Britain and Northern Ireland,Whitstable,,,,,,
United States of America,Wichita Falls,,,,,,
Germany,Wickede,,,,,,
Poland,Wielun,,,,,,
Belgium,Wingene,,,,,,
Netherlands,Winsum,,,,,,
United States of America,Winter Garden,,,,,,
United Kingdom of Great Britain and Northern Ireland,Wokingham,,,,,,
Ethiopia,Wonji,,,,,,
United States of America,Woodridge,,,,,,
Mexico,Yajalon,,,,,,
Ukraine,Yakymivka,,,,,,
Japan,Yanai,,,,,,
China,Yingshang,,,,,,
Japan,Yokkaichi,,,,,,
Peru,Yurimaguas,,,,,,
Russian Federation,Yuryevets,,,,,,
Iran (Islamic Republic of),Zarand,,,,,,
Kazakhstan,Zhanaozen,,,,,,
China,Zigong,,,,,,
Russian Federation,Znamenka,,,,,,
Switzerland,Zofingen,,,,,,
Serbia,Zrenjanin,,,,,,
Canada,Charlottetown,,,,,,
France,Chateauneuf Les Martigues,,,,,,
France,Chelles,,,,,,
Russian Federation,Chernogolovka,,,,,,
Bangladesh,Chilmari,,,,,,
Colombia,Chimichagua,,,,,,
Zambia,Chipata,,,,,,
United Kingdom of Great Britain and Northern Ireland,Chippenham,,,,,,
Poland,Ciechocinek,,,,,,
Indonesia,Cileunyi,,,,,,
United States of America,Clive,,,,,,
Romania,Codlea,,,,,,
Brazil,Colina,,,,,,
United States of America,Columbus,,,,,,
United Kingdom of Great Britain and Northern Ireland,Congleton,,,,,,
United States of America,Coon Rapids,,,,,,
United States of America,Corsicana,,,,,,
Brazil,Crateus,,,,,,
Brazil,Cruz Das Almas,,,,,,
Guatemala,Cubulco,,,,,,
Philippines,Taytay,,,,,,
United Kingdom of Great Britain and Northern Ireland,Telford,,,,,,
Mexico,Temascalcingo,,,,,,
Serbia,Temerin,,,,,,
Bulgaria,Teteven,,,,,,
Netherlands,Tholen,,,,,,
Nicaragua,Ticuantepe,,,,,,
Mexico,Tizapan El Alto,,,,,,
Mexico,Tlanalapan,,,,,,
Indonesia,Tomohon,,,,,,
Belgium,Tongeren,,,,,,
China,Tongzhou,,,,,,
China,Tongzi,,,,,,
France,Torcy,,,,,,
Germany,Torgelow,,,,,,
Portugal,Torres Novas,,,,,,
Japan,Tosu,,,,,,
India,Tral,,,,,,
Brazil,Tucurui,,,,,,
United States of America,Tulare,,,,,,
Bolivia (Plurinational State of),Tupiza,,,,,,
India,Udaipur,,,,,,
Japan,Uenohara,,,,,,
Brazil,Uniao Dos Palmares,,,,,,
United States of America,Uniontown,,,,,,
Japan,Urayasu,,,,,,
India,Vadnagar,,,,,,
Italy,Varazze,,,,,,
Germany,Vechelde,,,,,,
Italy,Velletri,,,,,,
Italy,Venosa,,,,,,
Portugal,Vialonga,,,,,,
Russian Federation,Votkinsk,,,,,,
Germany,Weil Im Schonbuch,,,,,,
South Africa,Bisho,,,,,,
Russian Federation,Bolkhov,,,,,,
Russian Federation,Bolokhovo,,,,,,
Germany,Bonn,,,,,,
Russian Federation,Borovskiy,,,,,,
Belgium,Bredene,,,,,,
Ukraine,Buchach,,,,,,
Chile,Buin,,,,,,
Philippines,Bunawan,,,,,,
Germany,Burgstadt,,,,,,
India,Burla,,,,,,
China,Caidian,,,,,,
Cuba,Calabazar De Sagua,,,,,,
United States of America,Camp Verde,,,,,,
Turkey,Can,,,,,,
Italy,Capua,,,,,,
Portugal,Cartaxo,,,,,,
Italy,Casalgrande,,,,,,
Portugal,Cascais,,,,,,
Ecuador,Catamayo,,,,,,
Chile,Cauquenes,,,,,,
Brazil,Ceara Mirim,,,,,,
United States of America,Cedarburg,,,,,,
Turkey,Cerkezkoy,,,,,,
United Republic of Tanzania,Chake Chake,,,,,,
India,Chakradharpur,,,,,,
Philippines,Codcod,,,,,,
United States of America,College Park,,,,,,
Brazil,Colonia Leopoldina,,,,,,
Spain,Conil,,,,,,
Mexico,Constitucion,,,,,,
United States of America,Corinth,,,,,,
Benin,Cotonou,,,,,,
France,Courbevoie,,,,,,
South Africa,Cradock,,,,,,
United Kingdom of Great Britain and Northern Ireland,Crawley,,,,,,
Turkey,Cubuk,,,,,,
Rwanda,Cyangugu,,,,,,
Brazil,Abaete,,,,,,
Ethiopia,Abiy Adi,,,,,,
Benin,Abomey,,,,,,
France,Agen,,,,,,
Greece,Akharnai,,,,,,
Turkey,Alanya,,,,,,
Ukraine,Aleksandriya,,,,,,
Russian Federation,Aleysk,,,,,,
Unknown,Almeirim,,,,,,
Brazil,Alvinopolis,,,,,,
Pakistan,Amangarh,,,,,,
Mexico,Amecameca,,,,,,
Russian Federation,Amursk,,,,,,
Russian Federation,Anastasiyevskaya,,,,,,
India,Anjar,,,,,,
Madagascar,Ankazobe,,,,,,
United States of America,Annapolis,,,,,,
Guatemala,Antigua Guatemala,,,,,,
India,Anuppur,,,,,,
Italy,Appiano,,,,,,
Brazil,Arapongas,,,,,,
Philippines,Aringay,,,,,,
Iran (Islamic Republic of),Bam,,,,,,
India,Banganapalle,,,,,,
Thailand,Bangkok,,,,,,
United States of America,Belmont,,,,,,
China,Bengbu,,,,,,
Indonesia,Bengkalis,,,,,,
Belgium,Beringen,,,,,,
Madagascar,Beroroha,,,,,,
India,Bhind,,,,,,
Poland,Bierun,,,,,,
China,Bijie,,,,,,
Germany,Billerbeck,,,,,,
United States of America,Billings,,,,,,
Unknown,Biloxi,,,,,,
United States of America,Binghamton,,,,,,
India,Binika,,,,,,
Nepal,Birganj,,,,,,
United Kingdom of Great Britain and Northern Ireland,Cheltenham,,,,,,
Mexico,Chiapa,,,,,,
Italy,Chieri,,,,,,
Colombia,Chigorodo,,,,,,
Panama,Chilibre,,,,,,
India,Chinna Salem,,,,,,
China,Chizhou,,,,,,
