Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,roads,dump_sites,agricultural_fields,Air Quality
28.2,71.7,75.2,90,30.8,5,1.81,4.8,765,28,3,9,Poor
32,69.7,95.7,110.4,36.1,20.5,2.3,6.8,673,18,2,5,Poor
21.5,60,14.6,20.6,20.9,1.6,0.94,10.7,587,18,5,1,Good
29.6,63.1,12.8,15.9,22,3.8,1.16,11,377,38,3,7,Good
17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,43,2,6,Good
33.2,49.8,1.4,23.3,23,25.8,2.06,6.8,730,29,2,3,Poor
58.6,66,44,54,44.3,22.7,3.09,5.2,641,40,1,2,Hazardous
28.1,51.8,36,40.3,26.4,5.4,1.15,10.8,264,33,0,1,Good
32,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,23,1,8,Moderate
25,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,33,3,1,Good
25.7,69.3,15.7,25,27.7,10.6,1.44,9.5,482,45,1,2,Moderate
35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,724,29,1,6,Hazardous
26.7,63.2,6.8,9.3,13.4,4.9,0.98,10,358,45,0,11,Good
20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,3,2,6,Good
24.6,84.2,5.2,19.2,22.5,9,1.48,7.3,623,38,3,8,Moderate
25.9,62.8,25.8,35.6,31.2,19,1.48,5.3,411,30,4,6,Moderate
22.1,54,10.6,15.4,13.9,8.9,1,10.5,265,27,2,9,Good
34.1,97.9,54,76.8,31.6,16.4,2.15,6.6,513,30,3,13,Poor
24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,390,10,3,4,Good
28,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,27,2,6,Good
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,33,3,6,Good
30.4,101.1,28.6,42.6,39.9,4,2.2,6.8,639,44,0,8,Poor
41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,24,2,6,Hazardous
25.5,73.4,13.8,21.4,25.7,3.8,0.95,11,194,21,2,3,Good
28.2,49.6,17,21.7,19.7,11.3,0.99,11.1,214,24,4,5,Good
36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,543,39,2,15,Poor
18.8,77.7,11,15.8,20,5.6,1.09,11.2,409,33,2,7,Good
26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,24,2,0,Good
34.9,96.9,11.4,30.2,36.5,20.3,1.89,6.8,680,35,2,4,Poor
23,50.7,1.1,5,24.8,2.1,1.12,12.4,593,30,1,6,Good
22.3,78.8,19.3,26,26.1,5.5,0.82,10.7,214,39,2,5,Good
21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,22,3,5,Good
44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,643,26,1,7,Poor
22.4,73,12.2,15,26.6,3.6,0.97,12.9,266,26,3,8,Good
32.3,82,8.8,18.7,29.8,14.7,2.03,5.7,600,15,3,7,Poor
33.5,70.8,8.1,16.3,22,15.9,1.63,5.1,527,32,1,9,Moderate
33.1,52,7.2,15.9,38.9,12.1,1.46,7.3,452,32,1,0,Moderate
25.5,48,15.5,19.9,18.6,7.7,1.04,10.3,503,30,4,4,Good
29.9,77.8,1.5,23.4,43.8,20,1.89,6,681,27,2,7,Poor
29.3,67.5,1.9,5,12.1,4.5,1.12,11,576,15,1,7,Good
23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,25,1,3,Moderate
23.7,40,20.7,23,20.4,6.2,1.05,12.5,318,26,0,3,Good
21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,21,2,2,Good
44.9,105.8,24.5,47.4,39.9,26.7,2.36,4,878,28,3,9,Hazardous
27,45.5,6.2,13,24.3,5,1.01,10.7,205,34,2,0,Good
49.6,87.5,81.9,87,40.4,18.4,2.14,2.9,631,48,1,0,Hazardous
33.4,78.5,101.6,109.9,19.3,9.2,1.32,5,334,31,1,7,Moderate
23.5,51.6,0,8.3,23.5,7.4,0.92,19.7,450,32,4,8,Good
22.2,75.7,19,20.7,20.1,5.3,1.03,10.7,316,29,1,0,Good
35.4,51.9,48.4,53,21,10.4,1.53,6.6,628,10,1,8,Moderate
41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,29,3,6,Poor
21,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,30,1,8,Good
31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,54,1,6,Moderate
46.8,91.6,240.1,261.5,40.3,37.6,2.46,3.1,879,28,3,7,Hazardous
23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,33,2,7,Good
24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,29,2,7,Good
24.1,59.3,14.4,33.1,31,16.7,2,5.3,622,18,2,6,Poor
41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,41,2,5,Hazardous
22.5,73,0.2,6.2,15,5.5,0.95,14.2,543,37,3,5,Good
26.7,57.9,50,59.6,26.3,9.4,1.68,6.3,541,37,3,6,Moderate
24.6,51.3,3.9,8,21.7,5.9,0.98,12.8,454,20,5,9,Good
32,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,44,1,13,Moderate
29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,15,3,8,Poor
32.5,68.3,33.2,40.1,29,9.5,1.52,6.5,410,35,1,7,Moderate
33,56.8,1.9,5,36.1,7.6,1.75,7.5,481,51,0,10,Moderate
30.1,86.8,7.3,22.4,27.9,6,1.29,6,690,20,2,7,Moderate
22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,24,3,1,Good
27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,30,1,3,Moderate
28.3,40.6,2.3,6.9,25.3,4,0.88,12.5,590,24,4,13,Good
30.8,68.9,2,11.5,23.6,13,1.46,7.1,638,14,1,3,Moderate
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,30,0,8,Moderate
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,19,2,2,Moderate
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10,435,34,0,11,Good
29.6,78.9,9.3,19,31.3,11.2,1.74,6.8,714,20,4,4,Moderate
28,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,45,1,6,Moderate
33.4,85.5,11.7,31.7,41.7,12.4,2.03,3,927,22,2,5,Hazardous
22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,26,1,8,Good
23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,598,38,1,6,Moderate
36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599,17,1,9,Moderate
27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334,32,2,8,Good
32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,406,43,1,7,Moderate
21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384,13,2,8,Good
31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,31,3,8,Moderate
27.4,63,11,21.1,23.2,9.6,1.27,6.6,333,32,4,4,Moderate
24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,239,37,2,4,Good
47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,648,17,2,12,Hazardous
40,88.7,29.3,46,45.1,20.7,2.03,3.2,821,16,3,8,Hazardous
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,35,3,7,Good
20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370,32,2,2,Good
42.6,94.6,17.9,30.1,44.3,4,1.91,2.6,525,32,3,0,Hazardous
33.7,72.7,139.4,159.9,33.1,22.8,2.28,5.6,576,33,1,4,Poor
29,64,8.6,21.6,26.6,8.1,1.53,5,647,23,4,4,Moderate
30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,32,0,4,Moderate
37.3,90.7,33.6,43.8,35.6,19.6,2.45,3.1,754,32,5,9,Hazardous
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6,417,22,2,12,Moderate
33.7,89.4,30,47.3,26.5,8.1,1.41,6,613,48,1,10,Moderate
23,44.6,23.1,28.1,16.2,9,0.95,10,437,34,1,3,Good
28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562,18,1,8,Moderate
33.5,97.1,10.5,24.1,26.8,16.5,2.13,5.1,686,36,2,4,Poor
25.2,42.6,10.5,18,24.7,7,0.89,10.8,517,20,1,0,Good
30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609,37,4,5,Moderate
35.6,74.6,64.2,76.2,43.9,17.4,2.61,3.5,679,41,3,11,Poor
32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,489,21,0,4,Moderate
35,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,39,2,9,Moderate
37.3,98.6,68.4,85.3,37.5,16.9,2.34,9,695,34,0,3,Poor
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8,451,38,0,8,Moderate
15.4,64.2,5.5,10.5,15.4,4.1,1,12.7,549,48,2,5,Good
31,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,27,3,12,Moderate
29.5,83.3,4.7,22.7,35.9,14.7,2.97,5.2,631,22,2,4,Poor
21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,21,2,3,Good
30.2,87.8,3.4,15.9,36,14.2,1.47,7.3,399,21,1,11,Moderate
28,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,29,0,3,Good
31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,33,2,6,Good
22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,818,32,3,3,Poor
25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612,38,3,9,Moderate
36.2,87.2,2.4,17.5,50.9,31.5,3.04,5.1,937,30,3,11,Hazardous
31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549,44,3,3,Poor
34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685,27,0,8,Hazardous
23.2,57.5,17.8,26.2,11,2.9,1.19,10.4,500,57,1,8,Good
30.5,89.7,117,138.7,40.6,33.9,2.22,6.4,574,36,2,6,Hazardous
24,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728,21,1,12,Moderate
32.1,73.6,39.4,54.8,39.5,6.8,2,4.2,493,19,4,12,Poor
14.1,54.5,3.6,8.3,17.4,7,0.99,10.1,238,34,0,2,Good
27.6,52,48.9,53.6,28.7,5.1,1.65,5.6,364,27,1,10,Moderate
21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,37,4,8,Good
31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,488,34,1,6,Poor
28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,29,2,5,Moderate
31.1,56.4,10.7,17,12.9,5.1,1.07,10,572,21,4,0,Good
28,55.4,3,15.1,22.8,21.8,1.76,5.1,405,14,2,7,Moderate
38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806,25,3,7,Poor
41.5,91.3,79.5,93.5,30,12.8,1.99,10.4,561,38,1,13,Poor
33.1,99.2,17.6,47.1,41.1,26.4,2.45,6.8,623,32,2,3,Hazardous
28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544,17,1,0,Moderate
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,31,3,1,Moderate
32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,33,3,12,Moderate
24.5,65.2,8.3,14.3,15,5.4,1,11.2,368,21,1,4,Good
29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629,31,3,11,Moderate
36.2,84.9,42.2,72,30.9,23.4,1.98,3.5,619,30,3,6,Hazardous
27,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490,18,3,2,Moderate
26.2,47.6,16.4,20.2,24,9.9,0.85,11.5,506,33,2,14,Good
24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585,35,0,11,Moderate
28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600,40,4,5,Good
24.9,64.4,10.9,15.2,14,4.4,1.12,10.5,354,40,1,9,Good
38.3,99,8.2,27.2,24.9,13.9,2.69,3.8,808,16,2,6,Poor
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386,20,2,7,Good
22.8,65.1,3.1,10.6,11.1,4.9,0.88,12,500,35,1,13,Good
32.5,75.1,24.9,36,25.8,6.3,1.69,6.4,516,35,2,0,Moderate
25.1,59.5,6,11.3,25.8,0.7,0.9,10.7,231,35,6,4,Good
32.9,49.6,24,28.5,22,8.8,1.64,5.3,518,68,0,6,Moderate
28,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631,35,4,7,Moderate
26.1,48.5,5.3,10.5,18.4,5,0.99,10.4,547,41,2,1,Good
28,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662,39,1,9,Poor
37.8,79.1,63,85.1,52.6,20.1,2.6,6.5,778,36,2,1,Hazardous
31.6,102.7,80.5,96.9,35,1.7,2,4.4,630,26,4,1,Poor
30.4,63.8,12.2,22.1,31.3,15.5,1.7,5,389,37,1,4,Moderate
25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379,22,2,13,Good
36.6,78.5,6,25.9,45.5,17.8,1.58,4,470,27,2,16,Poor
29.8,60.2,10.7,19.8,24.9,12.4,2,6.4,472,25,5,7,Moderate
33.7,96.3,70.8,87.3,32.9,17,2.33,4.8,557,30,1,5,Hazardous
26.2,62,79.2,86,31.4,7.6,1.46,5.9,615,53,0,6,Moderate
27.6,61.5,0,4.5,25.1,4.3,1.07,11,536,11,2,7,Good
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470,36,1,11,Good
23.7,51.7,19.1,22.2,24,7,1.07,10.6,371,13,0,1,Good
43.1,75.5,6.4,14.2,38.8,11,2.24,9,644,25,1,10,Poor
29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,40,1,0,Moderate
28.4,48,11.1,17.7,15.1,7.6,1.06,16.4,334,30,2,4,Good
34.5,86.1,9,21.6,39.1,7.5,1.79,5.2,450,19,2,5,Moderate
20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430,22,2,7,Good
30.9,92.2,10.7,19,38.1,9.6,2.55,4.8,429,36,0,5,Poor
23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362,22,3,6,Good
28.8,76.6,124.1,135.5,32,10,2.02,5,566,32,1,6,Poor
36.4,80.3,103,106.4,26.5,22.3,2.38,3.7,844,30,1,0,Hazardous
29.8,75.8,1.1,19.5,29.7,4,1.78,6.3,402,23,3,8,Moderate
24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,51,1,9,Good
32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,36,0,11,Moderate
31.6,97.6,85.9,101.9,45,25.8,1.82,7.4,804,9,1,13,Poor
23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292,31,2,7,Good
26.7,100.1,3.9,18.1,30.7,15.5,1.62,3.7,457,23,2,11,Poor
31.3,100.3,7,26.4,30.4,20.2,2.19,4.2,770,38,1,6,Poor
29.6,83,4,14.1,22.2,3.2,1.05,11.9,225,22,1,0,Good
25.3,83.3,33.9,44,35.9,9.1,1.41,6.2,488,28,4,9,Moderate
26.4,60.3,6.5,13.2,21.8,5.1,0.88,11.1,412,35,3,8,Good
23.9,61.4,28.2,40.3,37,11.3,1.56,6.9,559,38,0,6,Moderate
23.9,61.8,3.2,9.9,18.6,5.2,0.93,13.6,438,17,1,5,Good
32.5,71.3,11.8,30.9,26.1,23.5,2.16,5.4,730,26,3,7,Poor
38.7,71.9,5.4,31,50.3,15.6,2.81,6.4,503,25,3,4,Hazardous
32.4,83.3,2.3,18.4,30.9,15.1,1.54,5,355,23,1,7,Moderate
26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389,47,2,2,Good
50.9,79.9,22.5,52,38.2,9,2.65,8.4,611,34,3,2,Hazardous
34.7,88.9,8.9,16.1,33.3,8.5,1.19,6,447,17,1,0,Moderate
33.5,56.1,0.1,8.8,31.2,5.7,1.41,5.6,351,39,0,14,Moderate
26,54.9,16.6,22.4,21.3,7,1.02,12.2,210,51,2,6,Good
28.2,68.1,7.2,9.1,20.8,4.7,1.07,10.2,379,40,3,10,Good
23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493,14,2,1,Good
25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492,25,3,5,Good
22.5,41.5,0.3,7.1,17.3,3.2,1.01,11.4,212,42,0,8,Good
33.5,75.7,2.3,18.1,29.4,10.1,1.45,6,633,22,2,11,Moderate
47.2,78.4,17.9,46,42.9,21.1,2.36,2.8,517,34,4,3,Hazardous
35.8,60.1,2.9,13.9,22.2,14.5,1.59,7.7,661,37,4,4,Moderate
29.5,72.7,9.3,25,21.2,9.7,1.59,7.5,404,20,2,2,Moderate
31.7,47.3,1.2,6.9,11.5,5.5,1.18,15.7,451,29,2,5,Good
21.5,73.3,1.8,8.5,18.6,8.3,0.94,13.1,207,0,1,1,Good
40,66.1,21.7,41.3,28.1,2.7,1.66,5.9,745,19,1,0,Poor
39.1,82.4,24.3,49.8,28.2,11.5,2.03,8.5,818,27,0,7,Poor
27.2,43.8,18.4,23.1,21.5,2.6,1.03,12.1,253,17,2,8,Good
39.6,96.2,47.1,65.4,35.8,17.1,2.03,5.2,661,46,0,1,Poor
40.2,91.9,22.3,34.2,43.7,17.4,2.07,3.1,900,15,1,3,Hazardous
26.4,77.1,20.6,24.8,24.1,12.4,1.46,6.7,576,25,3,5,Moderate
47.4,93.1,72.7,96.6,34.3,14.9,2.54,5.7,797,31,0,12,Hazardous
29.7,74.4,0.6,6,22.4,3.5,0.74,11.6,583,44,2,0,Good
25.2,63.2,8.9,19.6,41.7,9.9,2.14,5.1,473,15,1,7,Poor
25,75.7,4.7,9.3,21.2,5.2,1.15,16,541,41,2,8,Good
30.8,67.6,6,15.4,29.2,6,1.42,8.7,564,30,0,3,Moderate
30.2,56.8,0.2,4.7,24.6,10.2,1.49,5.3,696,20,2,4,Moderate
21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381,34,1,7,Good
33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504,31,3,5,Moderate
24.1,47.5,22.8,26,26.5,4.1,0.91,12.2,406,23,3,12,Good
35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629,30,2,6,Moderate
25.8,76.6,8.6,16.5,22.4,6.2,0.99,16.7,514,26,2,9,Good
24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,31,2,7,Good
23.1,100.8,7.4,30,28.5,16.3,1.8,7.2,711,36,0,8,Poor
54.6,90.7,48.9,62.9,30.1,11.5,2.74,3.7,617,45,2,2,Hazardous
35.9,87,26.4,34.1,29.2,17.2,1.33,6.5,619,17,2,6,Moderate
30.5,75.1,21.5,34,25.6,7.6,1.21,6.1,401,51,1,5,Moderate
32,48.8,0.7,15.8,16.9,8.6,1.65,5.2,662,10,3,3,Moderate
28.3,52.1,5.1,9.8,19.3,2.7,0.9,10.9,271,28,1,9,Good
31.2,75.9,57.6,80.4,38.9,28.6,2.15,3.4,463,35,1,0,Poor
27.5,55.1,3.8,14.9,20.3,5.2,1.38,6.3,629,32,2,11,Moderate
42.7,63.3,82.1,103.4,45.4,29.3,2.26,7.4,747,23,1,0,Poor
30.2,77.2,34.4,44,33.6,12.7,1.34,6.4,372,27,1,5,Moderate
36,70.7,69.5,78.1,29.1,16.2,2.28,7.2,420,25,0,9,Poor
36.5,103.6,19.1,50.4,49.3,7.4,2.15,3.3,879,24,3,1,Hazardous
26.3,54.7,2,8.2,27.9,3.4,1.05,17,330,38,2,7,Good
53.1,70.2,60.3,81.9,32.2,16,2.28,2.7,526,33,2,7,Hazardous
26.5,52.8,1.2,10,26.5,3.4,0.91,12.1,377,23,4,7,Good
20.3,66.8,18.9,21.1,25.5,5,0.96,11.3,416,38,1,4,Good
30,66.1,17.3,25.3,30.5,6,1.55,8,482,33,3,4,Moderate
32,79,117.8,127.8,39.4,28.4,2.75,9.2,774,38,2,0,Hazardous
26.2,41,0.3,6.4,23.4,7.3,1.05,10.5,432,36,2,5,Good
24.6,46.5,5.9,13,14.2,6.7,0.96,10.5,547,21,1,9,Good
24.3,72.9,1.9,10.4,22.7,2.1,0.89,10.8,300,24,3,4,Good
22.7,70.9,15.8,19.6,17.4,5.6,0.99,11.4,516,37,1,4,Good
23.8,57.9,21.9,27.3,21.9,4.3,1.02,11.1,336,36,2,12,Good
24.3,69.1,60.1,76.5,21.4,9.2,1.44,5.7,512,29,1,5,Moderate
32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392,31,3,7,Moderate
29,51.7,8.4,13,16.5,5,1.01,10.1,226,42,3,8,Good
27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,24,1,5,Good
24.6,64.6,17.1,20.3,20.5,6.7,0.9,10.5,355,35,2,8,Good
21.9,77.4,21.1,27.8,21.1,4.5,1.03,10,384,27,0,9,Good
23.7,75.4,8.4,15,24.2,2.6,1.01,11.5,275,27,2,9,Good
26.7,41.8,1.5,6.5,25.5,2.5,1.07,10.5,303,40,2,10,Good
32.8,81,13.6,22.2,35.2,7.3,1.31,9.1,534,38,0,0,Moderate
28.9,109.5,3.6,21.7,62.1,13.5,2.35,2.7,678,38,3,1,Hazardous
29.7,80.8,7.3,14.8,30.4,7.2,1.73,8.4,606,43,4,3,Moderate
20,79.1,1.4,3.5,22.5,4.8,0.89,10.3,407,30,0,2,Good
32.9,66.9,5.2,8.6,30.6,14,1.47,10.5,485,36,3,3,Moderate
21.8,69,0.7,7.9,10.2,6.3,0.95,11.6,489,26,1,9,Good
20.5,58.3,1.8,6.7,14.6,4.8,0.78,16,260,33,2,6,Good
25.4,59.1,16,16.6,15.2,6.8,1.04,10.5,439,28,3,5,Good
22.2,74,90,99.8,29.1,10.7,1.94,5.2,573,30,2,5,Poor
40.6,95.1,37.4,46.7,42.9,21.3,2.16,2.8,679,35,0,4,Hazardous
33.2,60,54.5,65.5,20.2,7.9,1.42,9,418,21,0,5,Moderate
28.5,69,16.3,25.3,23,7.7,1.71,5.5,344,50,1,11,Moderate
