longitude,latitude,location_id,location_name,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,roads,dump_sites,agricultural_fields,wind_speed,wind_direction,Air Quality
72.206469,31.099908,6130997885,Hyderabad,27.5,78.9,30.2,34.1,15.3,3,0.98,11.1,32,1,7,0.3,355,Good
82.368344,16.35831,5198069941,Mumbai,28,72.2,18.5,25,24.9,6.1,1.32,13.2,10,4,5,0.3,355,Good
95.631917,13.635464,6743221635,Delhi,22.2,50,2.3,8.4,23.5,3.7,0.96,10.2,16,1,2,0.3,355,Good
86.125384,36.244132,4439456860,Pune,33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,31,3,9,0.3,355,Hazardous
88.798959,18.487715,12217520145,Kolkata,37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,37,1,0,0.3,355,Hazardous
80.505873,25.43991,6236646571,Coimbatore,30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,31,1,9,0.3,355,Poor
68.578033,25.689463,6002124617,Madurai,39.3,78.9,68.9,85.2,43.7,13,1.7,8.5,28,2,10,0.4,355,Poor
86.737781,24.253731,8284936803,Trichy,24.7,64.9,17.3,37,27.2,14.9,1.48,5.5,26,3,15,0.3,355,Poor
86.325804,34.526177,7428576734,Salem,27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,15,1,2,0.3,355,Moderate
71.202401,27.558791,10836900731,Erode,17.4,56.5,2.6,6.9,21,3.5,0.92,11.6,22,3,3,0.3,355,Good
81.402632,19.708257,4138202429,Tiruppur,18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,25,2,6,0.3,355,Good
94.544539,33.009031,6622927342,Kochi,25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,40,2,5,0.4,355,Good
73.94746,13.250824,2530077079,Thiruvananthapuram,22.4,69.3,2.2,8.4,19.6,3,0.92,10.2,33,2,9,0.5,355,Good
81.371864,23.782866,8450707288,Ahmedabad,25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,12,0,8,0.5,355,Moderate
81.371992,35.565961,1282485020,Surat,42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,33,5,4,0.5,355,Hazardous
91.512083,26.136531,9309750700,Vadodara,27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,26,2,5,0.5,355,Good
91.9127,31.692085,77157848,Jaipur,32.6,65.1,4.1,19.3,28,14.5,1.45,6.3,23,2,9,0.5,355,Moderate
90.018813,26.953261,10418430088,Lucknow,46.1,100.3,144,169.8,42.5,16.1,2.3,7.3,36,0,0,0.5,355,Hazardous
78.598171,32.341755,12955374270,Kanpur,33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,40,4,5,0.4,355,Hazardous
70.089071,35.390149,9453956210,Patna,48.1,94.1,4.2,19,23.7,6,1.57,6,39,1,8,0.5,355,Poor
78.135006,15.91473,3065190407,Ranchi,31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,21,1,1,0.6,355,Moderate
87.713945,12.920171,11993712674,Bhubaneswar,29,83.5,31.5,44.4,27,-2.8,1.49,5.7,26,5,0,0.6,355,Moderate
88.379651,22.035732,2612578298,Visakhapatnam,24.9,82.2,19.5,27.9,25.6,2,1.54,8.1,33,0,11,0.7,355,Moderate
95.985006,28.35401,3988431977,Vijayawada,27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,39,2,5,1,355,Poor
81.155596,14.588546,11396289145,Guntur,20.8,48.5,16,19.7,11.2,2.5,1.17,10.2,25,1,0,0.9,355,Good
86.340632,8.118942,3939721883,Warangal,28.2,71.7,75.2,90,30.8,5,1.81,4.8,28,3,9,0.9,355,Poor
83.636535,17.945118,12250822472,Nizamabad,32,69.7,95.7,110.4,36.1,20.5,2.3,6.8,18,2,5,1,355,Poor
72.367938,36.096921,4714750624,Nagpur,21.5,60,14.6,20.6,20.9,1.6,0.94,10.7,18,5,1,0.8,355,Good
81.374872,28.154056,11472585917,Indore,29.6,63.1,12.8,15.9,22,3.8,1.16,11,38,3,7,1.1,353,Good
83.800219,19.638438,11139539243,Bhopal,17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,43,2,6,1,350,Good
95.571739,13.584707,11010456738,Noida,33.2,49.8,1.4,23.3,23,25.8,2.06,6.8,29,2,3,0.9,350,Poor
78.629633,18.326601,1654658402,Gurgaon,58.6,66,44,54,44.3,22.7,3.09,5.2,40,1,2,0.8,350,Hazardous
96.422874,12.925344,4183471662,Chennai,28.1,51.8,36,40.3,26.4,5.4,1.15,10.8,33,0,1,0.8,350,Good
83.726702,11.082869,7951024386,Bengaluru,32,74.9,43.3,45.5,28.8,9.5,1.42,7.8,23,1,8,0.9,350,Moderate
75.031608,34.295529,3109804676,Hyderabad,25,63.9,9.3,10.8,15.8,4.6,0.92,10.1,33,3,1,1,352,Good
73.558267,36.93186,5318514806,Mumbai,25.7,69.3,15.7,25,27.7,10.6,1.44,9.5,45,1,2,0.8,354,Moderate
72.109153,12.759319,9699739661,Delhi,35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,29,1,6,0.9,354,Hazardous
81.135053,9.581154,8773595546,Pune,26.7,63.2,6.8,9.3,13.4,4.9,0.98,10,45,0,11,0.8,354,Good
68.635866,17.562202,3062273870,Kolkata,20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,3,2,6,0.9,354,Good
80.906313,21.388116,9076207065,Coimbatore,24.6,84.2,5.2,19.2,22.5,9,1.48,7.3,38,3,8,1,352,Moderate
96.663736,13.939816,6191903227,Madurai,25.9,62.8,25.8,35.6,31.2,19,1.48,5.3,30,4,6,0.8,352,Moderate
87.433097,16.741322,876377394,Trichy,22.1,54,10.6,15.4,13.9,8.9,1,10.5,27,2,9,0.8,352,Good
90.033798,13.825251,12447209951,Salem,34.1,97.9,54,76.8,31.6,16.4,2.15,6.6,30,3,13,0.6,352,Poor
71.451156,30.453556,10641634160,Erode,24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,10,3,4,0.5,352,Good
81.719925,28.66476,4903391332,Tiruppur,28,55.2,12.4,21.2,27.7,3.7,0.99,10.6,27,2,6,0.8,350,Good
76.30047,26.413594,11195887462,Kochi,26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,33,3,6,0.5,306,Good
93.928828,19.229318,2328599822,Thiruvananthapuram,30.4,101.1,28.6,42.6,39.9,4,2.2,6.8,44,0,8,0.5,354,Poor
73.257482,34.362187,9472075932,Ahmedabad,41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,24,2,6,0.6,354,Hazardous
81.303266,36.116444,11584013170,Surat,25.5,73.4,13.8,21.4,25.7,3.8,0.95,11,21,2,3,0.4,354,Good
85.053384,13.03554,8086547867,Vadodara,28.2,49.6,17,21.7,19.7,11.3,0.99,11.1,24,4,5,0.4,353,Good
82.907192,14.467367,6986547497,Jaipur,36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,39,2,15,0.5,349,Poor
92.077062,23.2433,1279737021,Lucknow,18.8,77.7,11,15.8,20,5.6,1.09,11.2,33,2,7,0.6,347,Good
74.712142,10.646267,463094388,Kanpur,26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,24,2,0,0.4,347,Good
78.944342,20.657004,6265768347,Patna,34.9,96.9,11.4,30.2,36.5,20.3,1.89,6.8,35,2,4,0.4,347,Poor
90.970445,24.871947,13833096427,Ranchi,23,50.7,1.1,5,24.8,2.1,1.12,12.4,30,1,6,0.4,349,Good
83.314071,23.140134,8098627133,Bhubaneswar,22.3,78.8,19.3,26,26.1,5.5,0.82,10.7,39,2,5,0.4,350,Good
79.661404,17.596349,9992985855,Visakhapatnam,21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,22,3,5,0.5,350,Good
68.853833,23.730928,4829331062,Vijayawada,44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,26,1,7,0.3,350,Poor
89.848177,35.805228,12494733117,Guntur,22.4,73,12.2,15,26.6,3.6,0.97,12.9,26,3,8,0.4,350,Good
96.19328,13.974505,1178799104,Warangal,32.3,82,8.8,18.7,29.8,14.7,2.03,5.7,15,3,7,0.3,321,Poor
85.988323,26.990109,2791807898,Nizamabad,33.5,70.8,8.1,16.3,22,15.9,1.63,5.1,32,1,9,0.3,347,Moderate
92.839695,9.258504,4307202296,Nagpur,33.1,52,7.2,15.9,38.9,12.1,1.46,7.3,32,1,0,0.3,346,Moderate
82.989397,9.926076,1319025538,Indore,25.5,48,15.5,19.9,18.6,7.7,1.04,10.3,30,4,4,0.3,346,Good
74.718748,24.003019,9307126085,Bhopal,29.9,77.8,1.5,23.4,43.8,20,1.89,6,27,2,7,0.3,347,Poor
68.418821,11.043236,2092328893,Noida,29.3,67.5,1.9,5,12.1,4.5,1.12,11,15,1,7,0.3,347,Good
86.94855,8.648057,2983990112,Gurgaon,23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,25,1,3,0.3,347,Moderate
82.300157,12.973877,9757051753,Chennai,23.7,40,20.7,23,20.4,6.2,1.05,12.5,26,0,3,0.3,346,Good
90.680846,24.380626,13943413015,Bengaluru,21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,21,2,2,0.3,346,Good
88.14579,28.396888,9322739130,Hyderabad,44.9,105.8,24.5,47.4,39.9,26.7,2.36,4,28,3,9,0.3,346,Hazardous
96.650619,13.871878,5244552479,Mumbai,27,45.5,6.2,13,24.3,5,1.01,10.7,34,2,0,0.3,346,Good
82.799065,27.379524,1744463155,Delhi,49.6,87.5,81.9,87,40.4,18.4,2.14,2.9,48,1,0,0.3,346,Hazardous
80.388069,13.291814,288710077,Pune,33.4,78.5,101.6,109.9,19.3,9.2,1.32,5,31,1,7,0.3,346,Moderate
76.315451,25.790265,1100558393,Kolkata,23.5,51.6,0,8.3,23.5,7.4,0.92,19.7,32,4,8,0.3,346,Good
81.828977,19.946831,13955226507,Coimbatore,22.2,75.7,19,20.7,20.1,5.3,1.03,10.7,29,1,0,0.3,346,Good
93.313273,26.960186,7295571366,Madurai,35.4,51.9,48.4,53,21,10.4,1.53,6.6,10,1,8,0.3,346,Moderate
69.230752,36.85653,7364146178,Trichy,41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,29,3,6,0.3,346,Poor
96.359101,35.196692,646028516,Salem,21,60.5,4.6,8.9,15.1,6.8,0.93,10.2,30,1,8,0.3,346,Good
96.805909,8.124171,4295262775,Erode,31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,54,1,6,0.3,346,Moderate
85.33682,33.677724,1155815738,Tiruppur,46.8,91.6,240.1,261.5,40.3,37.6,2.46,3.1,28,3,7,0.3,346,Hazardous
77.614782,9.928233,4204529281,Kochi,23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,33,2,7,0.3,347,Good
74.46842,35.638351,6070357851,Thiruvananthapuram,24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,29,2,7,0.3,347,Good
76.018221,16.172945,4446919126,Ahmedabad,24.1,59.3,14.4,33.1,31,16.7,2,5.3,18,2,6,0.3,346,Poor
69.453057,19.07901,1492069727,Surat,41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,41,2,5,0.3,346,Hazardous
81.778218,10.657508,2734518272,Vadodara,22.5,73,0.2,6.2,15,5.5,0.95,14.2,37,3,5,0.3,347,Good
69.662404,11.25591,11523542269,Jaipur,26.7,57.9,50,59.6,26.3,9.4,1.68,6.3,37,3,6,0.3,347,Moderate
88.835752,29.075476,6585313972,Lucknow,24.6,51.3,3.9,8,21.7,5.9,0.98,12.8,20,5,9,0.3,346,Good
78.785954,35.385635,13242164278,Kanpur,32,70.7,8.4,11.3,24.5,6.1,1.6,8.2,44,1,13,0.3,347,Moderate
73.781577,25.711706,10187588407,Patna,29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,15,3,8,0.3,347,Poor
83.800753,28.75965,9640003600,Ranchi,32.5,68.3,33.2,40.1,29,9.5,1.52,6.5,35,1,7,0.3,347,Moderate
96.23902,30.097123,12049393573,Bhubaneswar,33,56.8,1.9,5,36.1,7.6,1.75,7.5,51,0,10,0.3,347,Moderate
88.1588,15.621614,6017905237,Visakhapatnam,30.1,86.8,7.3,22.4,27.9,6,1.29,6,20,2,7,0.3,346,Moderate
82.260659,9.311659,12106482814,Vijayawada,22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,24,3,1,0.3,347,Good
90.530515,8.05431,657326920,Guntur,27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,30,1,3,0.3,346,Moderate
89.386818,18.168829,7293460559,Warangal,28.3,40.6,2.3,6.9,25.3,4,0.88,12.5,24,4,13,0.3,347,Good
93.860328,15.002463,3696622978,Nizamabad,30.8,68.9,2,11.5,23.6,13,1.46,7.1,14,1,3,0.3,347,Moderate
73.935399,9.807214,9545862691,Nagpur,27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,30,0,8,0.3,347,Moderate
92.90745,13.20632,11654298585,Indore,33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,19,2,2,0.3,346,Moderate
76.729757,11.610468,12076715134,Bhopal,22.9,66.9,7.8,16.3,21.8,8.1,1.07,10,34,0,11,0.3,346,Good
95.288969,34.531473,10097443603,Noida,29.6,78.9,9.3,19,31.3,11.2,1.74,6.8,20,4,4,0.3,347,Moderate
76.150889,12.067749,13307977030,Gurgaon,28,83.9,20.9,37.3,21.3,11.1,1.56,5.7,45,1,6,0.3,346,Moderate
94.878608,23.591805,1717558823,Chennai,33.4,85.5,11.7,31.7,41.7,12.4,2.03,3,22,2,5,0.3,346,Hazardous
95.949931,25.200073,7902904807,Bengaluru,22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,26,1,8,0.3,347,Good
72.219249,23.761194,2912066954,Hyderabad,23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,38,1,6,0.3,347,Moderate
96.260497,10.872637,907955761,Mumbai,36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,17,1,9,0.3,347,Moderate
70.485966,17.245152,10925435934,Delhi,27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,32,2,8,0.3,347,Good
74.338466,9.48684,7293338537,Pune,32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,43,1,7,0.3,347,Moderate
80.880895,19.474428,9581549446,Kolkata,21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,13,2,8,0.3,347,Good
96.814324,13.469369,13646327567,Coimbatore,31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,31,3,8,0.3,347,Moderate
82.168328,24.287343,8523348207,Madurai,27.4,63,11,21.1,23.2,9.6,1.27,6.6,32,4,4,0.3,347,Moderate
83.961874,28.091443,2228934259,Trichy,24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,37,2,4,0.3,347,Good
88.138324,23.431476,8583844352,Salem,47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,17,2,12,0.3,347,Hazardous
96.080513,20.592864,3800894239,Erode,40,88.7,29.3,46,45.1,20.7,2.03,3.2,16,3,8,0.6,347,Hazardous
90.717191,19.232669,9410425462,Tiruppur,29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,35,3,7,0.5,347,Good
74.500466,32.409061,1207743336,Kochi,20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,32,2,2,0.5,347,Good
76.786737,14.361674,11607948562,Thiruvananthapuram,42.6,94.6,17.9,30.1,44.3,4,1.91,2.6,32,3,0,0.6,347,Hazardous
70.831219,29.292332,12277819411,Ahmedabad,33.7,72.7,139.4,159.9,33.1,22.8,2.28,5.6,33,1,4,0.6,347,Poor
86.689119,29.966987,12618456304,Surat,29,64,8.6,21.6,26.6,8.1,1.53,5,23,4,4,0.6,347,Moderate
73.241469,20.1568,7178249959,Vadodara,30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,32,0,4,0.6,347,Moderate
75.464742,16.621717,10198876911,Jaipur,37.3,90.7,33.6,43.8,35.6,19.6,2.45,3.1,32,5,9,0.8,347,Hazardous
93.755296,21.645703,8342809688,Lucknow,33.4,70.5,7.5,15.2,24.1,8.6,1.49,6,22,2,12,0.7,347,Moderate
77.475915,10.703204,12781788952,Kanpur,33.7,89.4,30,47.3,26.5,8.1,1.41,6,48,1,10,0.7,347,Moderate
84.432755,9.331971,1229431313,Patna,23,44.6,23.1,28.1,16.2,9,0.95,10,34,1,3,0.6,348,Good
79.529414,11.236493,6390662465,Ranchi,28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,18,1,8,0.7,348,Moderate
70.146907,13.427206,6230934306,Bhubaneswar,33.5,97.1,10.5,24.1,26.8,16.5,2.13,5.1,36,2,4,0.7,348,Poor
78.523051,22.621128,765593187,Visakhapatnam,25.2,42.6,10.5,18,24.7,7,0.89,10.8,20,1,0,0.6,348,Good
79.833978,32.624962,87633091,Vijayawada,30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,37,4,5,0.5,348,Moderate
93.975332,14.833628,2131257357,Guntur,35.6,74.6,64.2,76.2,43.9,17.4,2.61,3.5,41,3,11,0.3,356,Poor
77.409069,35.119698,778037679,Warangal,32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,21,0,4,0.3,356,Moderate
78.997992,35.692329,11696347970,Nizamabad,35,80.5,43.6,55.1,27.9,11.3,1.65,6.9,39,2,9,0.3,356,Moderate
90.704006,35.808234,1333111039,Nagpur,37.3,98.6,68.4,85.3,37.5,16.9,2.34,9,34,0,3,0.3,356,Poor
90.009743,32.289319,2340192559,Indore,29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8,38,0,8,0.3,356,Moderate
91.150273,18.550926,11332962389,Bhopal,15.4,64.2,5.5,10.5,15.4,4.1,1,12.7,48,2,5,0.3,356,Good
95.659351,10.107833,9675659925,Noida,31,57.1,22.1,27.2,35.5,8.1,1.54,8.5,27,3,12,0.3,356,Moderate
91.071167,24.495743,6838443293,Gurgaon,29.5,83.3,4.7,22.7,35.9,14.7,2.97,5.2,22,2,4,0.3,356,Poor
79.820638,24.201762,8509280101,Chennai,21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,21,2,3,0.3,356,Good
91.823747,32.649297,2100541618,Bengaluru,30.2,87.8,3.4,15.9,36,14.2,1.47,7.3,21,1,11,0.3,356,Moderate
82.751564,36.88374,8196631943,Hyderabad,28,65.1,3.5,5.2,18.7,7.9,0.9,10.7,29,0,3,0.3,356,Good
76.053707,22.736562,10465644186,Mumbai,31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,33,2,6,0.3,356,Good
76.784595,18.010917,5808542612,Delhi,22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,32,3,3,0.3,356,Poor
74.491429,13.39115,7075665120,Pune,25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,38,3,9,0.4,356,Moderate
72.204796,8.139195,998638203,Kolkata,36.2,87.2,2.4,17.5,50.9,31.5,3.04,5.1,30,3,11,0.4,356,Hazardous
73.350222,22.764297,2154019247,Coimbatore,31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,44,3,3,0.3,356,Poor
69.832163,24.110041,11056673923,Madurai,34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,27,0,8,0.3,356,Hazardous
93.765075,31.923216,11900848959,Trichy,23.2,57.5,17.8,26.2,11,2.9,1.19,10.4,57,1,8,0.4,356,Good
94.999226,22.632732,197276799,Salem,30.5,89.7,117,138.7,40.6,33.9,2.22,6.4,36,2,6,0.3,356,Hazardous
85.016341,34.577582,4281561899,Erode,24,53.4,5.3,10.8,34.8,15.9,1.16,6.4,21,1,12,0.3,356,Moderate
92.374197,26.214421,1210702509,Tiruppur,32.1,73.6,39.4,54.8,39.5,6.8,2,4.2,19,4,12,0.3,356,Poor
73.323562,32.369751,3804577925,Kochi,14.1,54.5,3.6,8.3,17.4,7,0.99,10.1,34,0,2,0.3,356,Good
94.148541,12.30075,11811362299,Thiruvananthapuram,27.6,52,48.9,53.6,28.7,5.1,1.65,5.6,27,1,10,0.3,356,Moderate
82.684485,32.804748,4103412388,Ahmedabad,21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,37,4,8,0.3,356,Good
69.947785,27.579172,2384107437,Surat,31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,34,1,6,0.3,356,Poor
72.09807,12.936758,2467977438,Vadodara,28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,29,2,5,0.3,356,Moderate
76.960317,13.503143,12810426683,Jaipur,31.1,56.4,10.7,17,12.9,5.1,1.07,10,21,4,0,0.4,356,Good
69.26317,34.868518,333609715,Lucknow,28,55.4,3,15.1,22.8,21.8,1.76,5.1,14,2,7,0.4,356,Moderate
76.969508,8.934245,9912893308,Kanpur,38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,25,3,7,0.3,356,Poor
69.737983,21.413513,829956639,Patna,41.5,91.3,79.5,93.5,30,12.8,1.99,10.4,38,1,13,0.4,356,Poor
74.844801,17.090783,9753025312,Ranchi,33.1,99.2,17.6,47.1,41.1,26.4,2.45,6.8,32,2,3,0.5,356,Hazardous
75.704423,27.287246,1705186921,Bhubaneswar,28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,17,1,0,0.4,356,Moderate
96.8367,32.349252,12225802421,Visakhapatnam,33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,31,3,1,0.3,356,Moderate
74.830854,18.450966,8299359170,Vijayawada,32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,33,3,12,0.3,356,Moderate
74.936407,20.380161,13197336877,Guntur,24.5,65.2,8.3,14.3,15,5.4,1,11.2,21,1,4,0.4,356,Good
87.91688,36.475616,13792200945,Warangal,29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,31,3,11,0.3,356,Moderate
92.921367,30.733579,5845343510,Nizamabad,36.2,84.9,42.2,72,30.9,23.4,1.98,3.5,30,3,6,0.3,356,Hazardous
79.224607,34.01892,5396591870,Nagpur,27,50.4,17.4,30.2,19.1,10.5,1.68,5.6,18,3,2,0.3,356,Moderate
93.392923,20.724104,9868197993,Indore,26.2,47.6,16.4,20.2,24,9.9,0.85,11.5,33,2,14,0.3,356,Good
77.864119,14.78821,5690312281,Bhopal,24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,35,0,11,0.3,356,Moderate
73.713461,19.94404,3655008999,Noida,28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,40,4,5,0.3,356,Good
77.559526,28.766666,596784136,Gurgaon,24.9,64.4,10.9,15.2,14,4.4,1.12,10.5,40,1,9,0.3,356,Good
