Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season
India,Pimpri-Chinchwad,Sector_1,18.65034,73.82146,5.0,63.86,4.12,8.93,168.8,264.1,94.84,37.1,28,2.0,Summer,139.4,0.0,5000.0,5000.0,2025-07-07 19:43:00,summer
Indonesia,Cimahi,Sector_3,-6.89837,107.51018,1.0,1.3,0.26,0.12,53.61,58.74,4.49,38.9,65,2.6,Summer,257.59,5000.0,5000.0,5000.0,2025-07-20 13:12:00,summer
Nigeria,Bida,City Center,9.083333,6.016667,4.0,30.34,2.19,0.64,104.25,269.53,92.86,53.8,10,3.0,Summer,231.97,5000.0,5000.0,5000.0,2025-07-20 13:30:00,summer
Bangladesh,Lakshmipur,City Center,22.9445365,90.8276345,5.0,52.88,2.3,1.92,155.57,230.65,66.28,33.0,40,4.6,Summer,33.93,5000.0,5000.0,5000.0,2025-08-09 15:08:00,summer
Bangladesh,Habiganj,Sector_3,24.38975,91.44452,5.0,51.35,15.67,2.89,103.04,533.21,77.95,33.6,33,3.2,Summer,1796.59,5000.0,5000.0,5000.0,2025-06-13 15:53:00,summer
India,Patna,Sector_1,25.58954,85.14191,5.0,103.58,12.17,4.96,138.68,594.72,158.76,35.3,71,3.4,Summer,653.59,1148.37,5000.0,5000.0,2025-07-10 13:22:00,summer
China,Guangzhou,Sector_2,23.14385,113.26809,5.0,65.58,46.92,27.2,78.51,544.47,95.05,33.6,19,4.2,Summer,62.97,5000.0,5000.0,5000.0,2025-06-11 20:18:00,summer
Russia,Krasnoyarsk,Sector_3,56.01331,92.82718,2.0,0.33,1.57,0.3,122.22,92.22,0.47,1.9,56,7.5,Summer,141.5,544.7,5000.0,251.15,2025-07-05 17:00:00,summer
Indonesia,Batam,Sector_3,1.11201,104.03566,2.0,6.85,2.38,0.27,52.22,283.11,9.29,41.6,66,2.7,Summer,5.56,741.86,1739.02,5000.0,2025-08-11 20:38:00,summer
Indonesia,Yogyakarta,Sector_2,-7.96846,110.36652,1.0,1.47,0.03,0.1,82.97,45.34,6.59,44.5,72,3.6,Summer,654.03,5000.0,5000.0,5000.0,2025-08-09 09:13:00,summer
Indonesia,Tanjungpinang,Sector_1,0.93894,104.43785,2.0,6.58,2.64,0.35,58.61,320.77,7.97,40.9,68,4.3,Summer,800.02,5000.0,5000.0,5000.0,2025-07-07 17:01:00,summer
Brazil,Santo André,City Center,-23.6533509,-46.5279039,1.0,2.14,0.06,0.13,64.71,38.25,13.2,34.1,65,7.2,Summer,33.7,205.26,5000.0,1790.84,2025-07-10 09:51:00,summer
China,Xi'an,Sector_3,34.25295,108.9761,5.0,113.42,12.43,4.11,92.86,482.48,134.98,17.5,31,2.6,Summer,51.23,495.95,5000.0,5000.0,2025-07-27 18:27:00,summer
Brazil,Salvador,Sector_4,-12.99453,-38.49674,2.0,0.73,0.14,0.13,99.26,50.52,4.57,43.8,36,6.9,Summer,34.27,5000.0,5000.0,5000.0,2025-08-09 11:43:00,summer
Brazil,Jaboatão dos Guararapes,Sector_2,-8.21378,-34.95069,2.0,1.36,0.44,0.22,104.57,62.05,4.26,45.6,39,5.5,Summer,1028.96,764.44,5000.0,1342.47,2025-06-01 08:47:00,summer
China,Baotou,Sector_3,40.60497,109.90941,3.0,13.75,11.89,3.71,100.08,180.11,38.48,6.7,63,5.4,Summer,295.09,5000.0,5000.0,5000.0,2025-07-22 12:18:00,summer
Indonesia,Bontang,City Center,0.1236548,117.471708,1.0,3.19,5.58,0.7,24.79,185.21,3.86,43.8,67,1.9,Summer,371.83,459.26,1357.95,5000.0,2025-06-02 12:47:00,summer
Pakistan,Khanpur,Sector_2,28.63949,70.62547,5.0,224.85,3.44,5.1,191.48,769.23,390.74,35.4,10,4.4,Summer,1218.24,5000.0,5000.0,5000.0,2025-07-26 14:07:00,summer
USA,Las Vegas,Sector_1,36.16639,-115.17645,3.0,8.49,3.81,0.16,97.0,105.41,36.23,25.7,23,3.1,Summer,29.1,403.94,5000.0,5000.0,2025-08-14 16:12:00,summer
Bangladesh,Narsingdi,Sector_4,23.93655,90.69399,5.0,52.09,10.2,1.99,115.42,391.95,61.82,32.3,37,4.8,Summer,703.57,5000.0,5000.0,5000.0,2025-06-02 09:26:00,summer
Russia,Izhevsk,Sector_2,56.87428,53.20356,1.0,2.73,15.53,2.0,84.55,125.42,3.39,-2.9,76,1.2,Summer,374.45,577.01,5000.0,74.99,2025-06-08 14:00:00,summer
Pakistan,Tando Allahyar,Sector_3,25.46463,68.75651,5.0,145.9,10.13,2.45,147.12,525.68,265.44,34.1,10,2.6,Summer,510.61,5000.0,5000.0,5000.0,2025-08-10 17:11:00,summer
Indonesia,Malang,City Center,-7.9771308,112.6340265,1.0,1.52,0.03,0.12,103.47,50.6,8.62,41.2,81,1.6,Summer,64.95,294.58,2059.24,5000.0,2025-06-10 13:50:00,summer
Brazil,Manaus,Sector_1,-3.11607,-59.99528,1.0,0.27,0.07,0.01,9.05,65.92,0.37,41.0,68,7.3,Summer,154.31,5000.0,5000.0,5000.0,2025-06-05 09:59:00,summer
Pakistan,Sahiwal,Sector_4,30.70855,73.12269,5.0,256.26,9.05,1.46,128.23,1067.6,404.69,34.8,10,2.1,Summer,1085.0,5000.0,5000.0,5000.0,2025-06-01 12:47:00,summer
Brazil,João Pessoa,City Center,-7.1215981,-34.882028,2.0,3.87,0.7,0.46,119.33,83.72,7.31,48.3,30,6.7,Summer,49.38,470.26,5000.0,1382.27,2025-08-26 08:41:00,summer
India,Madurai,Sector_2,9.94826,78.14566,1.0,5.44,13.54,1.72,34.01,230.93,9.31,45.3,44,4.7,Summer,16.29,826.68,5000.0,5000.0,2025-07-06 12:49:00,summer
Nigeria,Kano,Sector_3,12.00282,8.55395,5.0,100.78,1.73,0.44,102.51,149.46,453.33,38.7,10,5.1,Summer,6.15,5000.0,5000.0,5000.0,2025-07-24 14:01:00,summer
